Index,Entry Word,Part of Speech,Affix,Definition
577,fijoka,n f,,фиока
578,fino,adj,,"фин, танак"
579,firango,n m,,завеса
580,firesovo kaj,adv indef,,било где
581,firizo,n m,,тестера
582,fizićki,adj,,"физички, физикалан"
583,flaša,n f,,флаша
584,flauta,n f,,флаута
585,formirila,v itr,,"образовати, формисати"
586,foro,n m,,"град, варош"
587,forosko,adj m,,"градски, општински"
588,forosko narodo,n phr f,,градска већница
589,frizeri,n m,,фризер
590,frizerka,n f,,фризерка
591,frkulica,n f,,виљушка
592,fuŕala,v itr,,летети
593,fuŕalipe,n m,,"летење, лет"
594,furka,n f,,виле
595,furkulica,n f,,виљушка
596,fusuj,n m,,"пасуљ, грах, боб"
597,gad,n m,,кошуља
598,gadoro,n m,,"досје, кошуљица, акт"
599,gadžo,adj m,,"нецигански, не ромски"
600,gajila,v tr,,"култивирати, гајити"
601,gajtano,n m,,"1. конопац, гајтан 2. гајтан, ширит, тканица"
602,gakila,v itr,,гакати
603,galbenila,v itr,,пожутети
604,galbeno,adj,,жут
605,garadola,v itr,,скрити се
606,garavela,v tr,,скрити
607,garavipe,n m,,тајност
608,garavo,adj m,,гарав
609,garo,n m,,"гареж, чађ"
610,gatalo,adj m,,готов
611,gataňila pe,v itr,,бавити се гатањем
612,gav,n m,,село
613,gavarno,adj m,,"сеоски, руралан"
614,gavramento,n m,,"1. влада, управљање 2. савет, веће"
615,gavran,n m,,"гавран, вран"
616,gavutni,n f,,сељанка
617,gavutno,n m,,сељак
618,gazda,n m,,домаћин
619,gaźe,n pl,,"народ, људи"
620,gaźi,n f,,"1. супруга (не циганка, не ромкиња) 2. ћерка (не циганка, не ромкиња)"
621,gaźo,n m,,"1. мушкарац (не циганин) 2. муж, дечак, момак (не циг.) 3. син (нециган, нером) 4. супруг (не циганин, не ром)"
622,generalno,adj,,"генерални, општи"
623,geopardo,n m,,гепард
624,ges,n m,,дан
625,ǧes,n m,,дневна светлост
626,ǧes buǩako,n m,,дан рада
627,ǧes thaj ŕat,n f,,дан и ноћ
628,gesesa,adv temp,,дању
629,getola,v tr,,"1. завршити, окончати 2. свршити, довршити 3. извршити"
630,gi,n m,,стомак
631,gilabela,v itr,,1. свирати 2. певати
632,gilabela po instrumento,v phr itr,,свирати (на инструменат)
633,gilabni,n f,,музичарка
634,gilabno,n m,,музичар
635,gili,n f,,песма
636,ginavela,v tr,,читати
637,gindila,v itr,,мислити
638,gindisarela,v itr,,мислити
639,gindo,n m,,"1. смисао, осечај 2. мисао 3. мнење, мишљење 4. мозак 5. мишљење"
640,gitara,n f,,гитара
641,giv,n m,,"жито, житарице"
642,givnado,n m,,читалац
643,glancisarele,v itr,,"полирати, углачати"
644,glasno,adj m,,"гласан, бучан, громак"
645,glendala,n f,,огледало
646,gležno,n m,,глежањ
647,glina,n f,,глина
648,gľiva,n f,,лисица (гљива)
649,glumco,n m,,1. играч 2. глумац
650,glumica,n f,,глумица
651,gnezdo,n m,,гнездо
652,gňida,n f,,гњида
653,gnoila pe ,v itr,,гнојити се
654,gnojavo,adj m,,"гнојан, гнојав"
655,gnojo,n m,,гној
656,godžavaripe,n m,,мудрост
657,goǧaver,adj,,паметан
658,gogi,n f,,"1. ум, памет 2. мозак"
659,goj,n f,,кобасица
660,golicila,v tr,,"голицати, шкакљати"
661,golumbo,n m,,голуб
662,gomila,n f,,"гомила, хрпа"
663,gomila džubre,n phr f,,гомила ђубрета
664,gono,n m,,"джак, врећа"
665,gor,n m,,"1. крај, област, предео 2. крај, конац"
666,gorko,adj m,,горак
667,gosto,n m,,гост
668,gostoľubľivost,n m,,гостољубивост
669,govedina,n f,,говеђина
670,grabľa,n f,,"грабље, грабуље"
671,grado,n m,,"град, туча"
672,gradžanino,n m,,"држављанин, грађанин"
673,gradžano,adj m,,"грађански, цивилни"
674,graktila,v itr,,"крекетати, грактати"
675,gramatika,n f,,граматика
676,granica,n f,,граница
677,gras,n m,,коњ
678,graško,n m,,грашак
679,grasňi,n f,,кобила
680,grdila,v itr,,"изгрдити, свађати се"
681,grebeno,n m,,гребен
682,greška,n f,,"грешка, заблуда"
683,grešno,adj m,,грешан
684,grexo,n m,,грех
685,griža,n f,,"1. јад, брига 2. жалост, туга"
686,grmila,v itr,,грми
687,grom,n m,,"муња, гром"
688,gromo,n m,,"гром, грмљавина"
689,grubo,adj m,,"груб, неуљудан"
690,grupa,n f,,група
691,guglo kukuruzo,n m,,слатки кукуруз
692,gurumňi,n f,,крава
693,gusani,n m,,гусан
694,gusenica,n f,,гусеница
695,guska,n f,,гуска
696,gušteri,n m,,гуштер
697,gusto,adj,,"густ, чест"
698,gusto,adj,,"густ, збијен"
699,hajziban,n m,,воз
700,hajzibaneski pruga,n phr f,,железничка пруга
701,haľina,n f,,хаљина
702,hanamik,adj,,"пријатељски, пријазан"
703,hanavela,v itr,,копати
704,haravela,v tr,,"узбудити, нарушити"
705,haravli,n f,,"појас, ремен"
706,harondela,v itr,,сврбети
707,hartija,n f,,"хартија, папир"
708,hasardo,adj m,,изгубљен
709,hasardola,v itr,,изгубити се
710,hasarela,v tr,,изгубити
711,hoľavola,v itr,,наљутити се
712,huj,n f,,"пукотина, рупа, пролаз"
713,hulel,v itr,,подићи
714,huŕala,v itr,,летети
715,hutela,v itr,,скочити
716,ideja,n f,,идеја
717,igrači,n m,,играч
718,igračica,n f,,играчица
719,ili,conj,,или
720,ili...ili,conj,,или…или
721,ilo,n m,,срце
722,ilovača,n f,,иловача
723,iňa,num card,,девет
724,iňato,num ord,,девети
725,iňavardeš,num card,,деведесет
726,informišila pe,v itr,,"обавестити, информисати"
727,inker,adv mod,,још
728,inkľarela (e grastes),v itr,,јахати
729,inklimasko kham,n phr,,излазак сунца
730,insistirila,v tr,,"инсистирати, упорно настојати"
731,institucija,n f,,"институција, установа"
732,inteligencija,n f,,интелигенција
733,inteligentno,adj,,"интелигентан, разуман"
734,intereso,n m,,интерес
735,iscedila,prefv tr,,"истиснути, исцедити"
736,iscelila,prefv tr,,"излечити, исцелити"
737,isčeznuila,prefv itr,,"нестати, исчезнути"
738,iscrpila pe,prefv itr,,исцрпсти
739,iscrpľeno,adj m,,исцрпљен
740,iskusno,adj m,,искусан
741,iskustvo,n m,,искуство
742,ispovedila pe,prefv itr,,проповедати
743,isto,adv mod,,1. једнако 2. слично 3. подједнако
744,isto,adj indef,,исти
745,isto ,adj,,"једнак, раван, подједнак"
746,istoćno,adj,,источни
747,istoko,n m,,исток
748,istorija,n f,,историја
749,istorisko,adj,,историјски
750,istrumento,n m,,"инструмент, оруђе"
751,isxrana,n f,,исхрана
752,iv ,n m,,снег
753,ivend,n m,,зима
754,ivica,n f,,"ивица, ошстрица"
755,izbegnila,prefv itr,,1. избећи 2. измаћи
756,izbori,n m,,избор
757,izbrusila,prefv tr,,избрусити
758,izdrala,prefv itr,,дрхтати
759,izdržila,prefv itr,,издржати
760,izgledi,n m,,изглед
761,izgledo,n m,,"појава, изглед"
762,izgradila,prefv itr,,изгрдити
763,izlečeno,adj m,,излечен
764,izložba,n f,,изложба
765,izložila,prefv tr,,"објаснити, изложити"
766,iznadila pe,prefv itr,,изненадити
767,iznenadila pe,prefv itr,,изненадити се
768,iznenadžeňe,n m,,изненађење
769,izrazila pe,v itr,,изразити
770,izrazo,n m,,израз
771,izveštaji,n m,,"порука, извештај"
772,izvinil pe,v itr,,извињавти се
773,izvori,n m,,извор
774,jag,n f,,"1. ватра, огањ 2. пламен"
775,jagalo,adj m,,"ватрен, огњен, горући, јарки"
776,jagorčevina,n f,,јагорчевина
777,jakh,n f,,око
778,jakhako kapko,n phr f,,очни капак
779,januari,n m,,јануар
780,jarco,n m,,јарац
781,jare ,n m,,јаре
782,jarmo,n m,,јарам
783,jasno,adj m,,"јасан, ведар, светао"
784,jasvin,n f,,суза
785,javila,v tr,,"саопштити, јавити"
786,jaxaňe,n m,,јахање
787,jaxtari,n m,,јахач
788,jecila,v itr,,јечати
789,ječmo,n m,,јечам
790,jedro,n m,,једро
791,jedva,adv mod,,једва
792,jefta,num card,,седам
793,jeftato,num ord,,седми
794,jeftavardeš,num card,,седамдесет
795,jeftino,adj,,јефтин
796,jegdata,num mult,,"једанпут, једном"
797,jegdata,num mult,,једном
798,jek,num card,,један
799,jek avers,pron,,један другога
800,jek ges,adv indef,,једног дана
801,jekhe grbaski kamila,n phr f,,једногрба камила
802,jekto,num ord,,први
803,jekto,adv temp,,"1. прво, најпре 2. само, једино"
804,jekto,adj,,једини
805,jela,n f,,јела
806,jeleno,n m,,јелен
807,jetra,n f,,јетра
808,jevrejka,n f,,Јеврејка
809,jevrejo,n m,,Јеврејин
810,jevrejsko,adj,,јеврејски
811,jeza,n f,,језа
812,ježo,n m,,јеж
813,jsano,adv mod,,јасно
814,jugo,n m,,југ
815,julo,n m,,јул
816,juno,n m,,јун
817,južno,adj,,јужни
818,kadiki,adj indef,,толико
819,kadža,adv mod,,"1. тако, на тај начин, овако 2. сигурно, несумњиво"
820,kafa,n f,,кафа
821,kaj,pron int,,"куда, где"
822,kaj god,adv indef,,где год
823,kaj sas,adv temp,,"пре, претходно"
824,kaja,pron dem f,,ова
825,kajmako,n m,,кајмак
826,kako,n m,,стриц
827,kala,pron dem pl,,ови
828,kalaripe,n m,,црноћа
829,kaľiľa,v itr,,поцрнети
830,kalo,adj m,,црн
831,kamela,v tr,,"хтети, желети"
832,kamila,n f,,камила
833,kamlipe,n m,,завист
834,kan,n m,,уво
835,kana,adv temp,,од кад
836,kana,pron int,,када
837,kana,conj,,када
838,kana god,adv indef,,кад год
839,kancelarija,n f,,"канцеларија, биро"
840,kandža,n f,,канджа
841,kangli,n f,,чешаљ
842,kangro,n m,,"1. бодља, трн 2. жаока"
843,kanoro,n m,,ушни капци
844,kap,n f,,кап
845,kap bršindesko,n phr m,,капља кише
846,kapija,n f,,капија
847,kaputo,n m,,"жакет, кратак капут"
848,kar,n m,,пенис
849,karnevali,n m,,карневал
850,karta,n f,,карта
851,kaš,n m,,"дрво, дрво (материјал)"
852,kaš akhoresko,n phr m,,орах (дрво)
853,kaš ambolako,n phr m,,крушка (дрво)
854,kaš jabukako,n phr m,,јабуково дрво
855,kaš tešňako,n phr m,,трешња (дрво)
856,kasavo,adj indef,,"такав, онакав"
857,kasavo,pron indef,,такав…онакав
858,kasko,pron int,,чији
859,kasno,adv temp,,касно
860,kaštarno,n m,,"дрводеља, тесач"
861,kaštuno ,adj m,,дрвен
862,kašuko,adj m,,1. глув 2. нем
863,kat,n f,,"маказе, шкаре"
864,katar,pron int,,одакле
865,katar  ,prep,,од
866,katar kodija,conj,,"отдада, од"
867,katar o kher,adv loc,,од куће
868,kav beng,n phr,,пакао
869,kav kher,adv loc,,код куће
870,kava,pron dem m,,овај
871,kava brš,adv temp,,ове године
872,kava ivend,adv temp,,ове зиме
873,kava milaj,adv temp,,овог лета
874,kavajgi,n f,,јакна
875,kazano,n m,,"казан, котао"
876,kazavuj,n m,,јеж
877,kazna,n f,,"казна, такса"
878,kaznila,v tr,,казнити
879,kazom,adj int,,колико
880,ke,conj,,јер
881,kelneri,n m,,келнер
882,kelnerica,n f,,келнерица
883,keľo,n m,,кељ
884,kerela,v tr,,"направити, чинити, створити"
885,kerela buki,v phr itr,,радити
886,kerela hu,v phr itr,,пробушити
887,kerela o intervju,v phr tr,,интервјуисати
888,kerela o utisko,v phr tr,,"импоновати, направити утисак"
889,kerela pe,v itr,,"претварати се, правити се"
890,kerela svato,v phr itr,,"говорити, разговарати, рећи, причати, дискутовати"
891,kerela tužno,v phr tr,,разтужити
892,kermo,n m,,црв
893,ketane,n pl,,"војска, армија"
894,ketano,n m,,војник
895,ketrnca,n f,,"крпа, дроњак"
896,kham,n m,,"сунце, сијање сунца"
897,khamalo,adj m,,сунчан
898,khamela,v tr,,"желети, жудети"
899,khameski svetlost,n phr f,,сунчана светлост
900,khamlimos,n m,,жеља
901,khamlipe,n m,,"1. љубав 2. воља, тестаменат"
902,khaňako kher,n phr m,,кокошињац
903,khandela,v itr,,смрдети
904,khangeri,n f,,црква
905,khanglipe,n m,,смрад
906,khaňi,n f,,"кокошка, пиле"
907,khašto,n m,,орман
908,khatende,adv indef,,нигде
909,khatinendar,adv indef,,ниоткуда
910,khelela,v itr,,"играти, плесати"
911,khelela pe,v itr,,играти (се)
912,khelipe,n f,,"игра, плес"
913,kher,n m,,кућа
914,kheŕa,n pl,,чизмe
915,kherdipe,n m,,"творевина, стварање"
916,khere,adv loc,,кући
917,khermo,n m,,"црв, глиста"
918,khinimos,n f,,умор
919,khino,adj m,,уморан
920,khir,n m,,мрав
921,khonik,pron indef,,нико
922,khosela,v itr,,обрисати
923,khotar,adv loc,,отуда
924,khote,adv loc,,тамо
925,khude bal,n phr f,,плетеница
926,khuj,n f,,лакат
927,khul,n m,,кравља стаја
928,khul,n f,,"измет, екскремент"
929,khuri,n f,,пета
930,khuro,n m,,"1. ждребац, пастух 2. ждребе"
931,khuvela,v itr,,"плести, штрикати"
932,kidela,v tr,,"скупити, скупљати"
933,kidela pe,v tr,,скупити се
934,kidimos,n m,,"скупљање, збирка"
935,kidipe,n m,,скупљање
936,kidipe romesko,n phr m,,удружење рома
937,kifla,n f,,кифла
938,kijaja,n f,,кључ
939,kijila,v itr,,кијати
940,kilometar,n m,,километар
941,kindimos,n m,,"куповина, купња"
942,kinela,v tr,,"набавити, купити"
943,kinǧarela  ,v tr,,"поквасити, помокрити"
944,kinǧarela pe,v itr,,"поквасити се, помокрити се"
945,kinglipe,n m,,"мокрина, влага"
946,kingo,adj m,,мокар
