Index,Entry Word,Part of Speech,Affix,Definition
2140,uvezbaila pe,v itr,,practise
2141,uvredila,v itr,,offend
2142,uzalud,adv mod,,in vain
2143,uźarela,v tr,,peel
2144,uzbudila,v tr,,1. annoy 2. excite
2145,uzbudila pe,v itr,,be annoyed
2146,uzbudžeňe,n m,,excitement
2147,uzde,n f,,rein
2148,uživancija,n f,,pleasure
2149,užo,adj m,,"pure, clean"
2150,vadra,n f,,"1. bucket, pail 2. can"
2151,vagnila,v itr,,weigh
2152,valila pe (ande ćik),v itr,,wallow (in the dirt etc.)
2153,vaľko,n m,,roll
2154,vaŕaća,n f,,wooden spoon
2155,varekaj,adv indef,,somewhere
2156,varekana,adv temp,,"sometimes, now and then"
2157,varekana,adj,,past
2158,varekana,adv temp,,1. ever 2. sometimes
2159,varekasko,pron indef,,former
2160,vareko,adj indef,,1. some 2. a certain
2161,varesar,adv indef,,"in some way, somehow"
2162,vareso,adj indef,,"several, some"
2163,vareso,pron indef,,something
2164,varo,n m,,flour
2165,vas,n m,,"arm, hand"
2166,vaspitaňe,n m,,upbringing
2167,vaspitaňe,n m,,education
2168,vaspitisarela,prefv tr,,educate
2169,vasuŕa,n pl,,"dishes, crockery"
2170,vazdela,v tr,,1. lift 2. pick up 3. raise
2171,vazdela o kher,v phr tr,,construct
2172,vazdela pe,v itr,,rise
2173,vazduxo,n m,,air
2174,važno,n m,,importance
2175,važno,adj m,,important
2176,važno,adv mod,,importantly
2177,već,adv temp,,already
2178,već,adv temp,,already
2179,večera,n f,,dinner
2180,večno,adj m,,eternal
2181,veko,n m,,century
2182,veličina,n f,,size
2183,vena,n f,,vein
2184,venco,n m,,wreath
2185,venćola pe,v itr,,marry
2186,vepro,n m,,boar
2187,vera,n f,,"belief, faith"
2188,veranda,n f,,"hall, corridor"
2189,verbalno,adj m,,verbal
2190,verno,adj m,,1. true 2. faithful
2191,verovatno,adj m,,probable
2192,verujila,v itr,,believe
2193,veslo,n m,,oar
2194,vešo,n m,,underwear
2195,veštica,n f,,witch
2196,veverica,n f,,squirrel
2197,veza,n f,,connection
2198,vežbaňe,n m,,practice
2199,vicelo,n m,,"calf, maverick"
2200,vico,n m,,joke
2201,vinogrado,n m,,vineyard
2202,violina,n f,,violin
2203,visibaba,n m,,snowdrop
2204,vito,adj m,,hot (spicy)
2205,vladaňe,n m,,behaviour
2206,vladila,v itr,,rule
2207,vlas,n f,,hair
2208,vlasniko,n m,,owner
2209,vlazno,adj m,,"humid, damp, moist"
2210,vo,pron pers 3 sg m,,he
2211,voće,n m,,fruit
2212,vodila,v,,1. keep 2. lead
2213,vodža,n m,,leader
2214,voj,pron pers 3 sg f,,she
2215,volil te pel,adv mod,,curiously
2216,volila,v tr,,1. love 2. admire
2217,von,pron pers 3 pl,,they
2218,vordon,n m,,car
2219,vorta,adv mod,,1. upright 2. straight 3. correctly
2220,vosko,n m,,wax
2221,voštano,adj m,,waxen
2222,vozaći,n m,,driver
2223,vrabco,n m,,sparrow
2224,vŕama,n f,,1. weather 2. time
2225,vrana ,n f,,crow
2226,vrba,n f,,willow tree
2227,vredno,adj,,remarkable
2228,vrednost,n f,,value
2229,vrš,n m,,noise
2230,vrš,n m,,forest
2231,vrxo,n m,,"top, peak"
2232,vrxo planinako,n phr m,,mountain top
2233,vstesko,adj m,,manual
2234,vuna,n f,,wool
2235,vunato,adj,,blue
2236,vuneno,adj m,,woollen
2237,vurca,n f,,brush
2238,xabe,n f,,food
2239,xaing,n f,,well
2240,xala,v tr,,1. eat 2. swallow
2241,xala e žvaka,v phr itr,,chew
2242,xala pe,v itr,,quarrel
2243,xala sa e love,v phr tr,,spend
2244,xaľina,n f,,"dress, gown"
2245,xalipe,n m,,sting
2246,xamlipe,n m,,quarrel
2247,xanamik,n m,,friend
2248,xaravli,n f,,"belt, girdle"
2249,xas,n m,,cough
2250,xasala,v itr,,cough
2251,xasaripe,n m,,loss
2252,xitno,adv mod,,urgently
2253,xlela,v itr,,"shit, defecate"
2254,xoľariko,adj,,angry
2255,xoľariko,adv mod,,angrily
2256,xoxamno,n m,,liar
2257,xoxamno,adj m,,false
2258,xoxavela,v itr,,1. lie 2. cheat 3. deceive
2259,xoxavipe,n m,,1. deception 2. lie
2260,xrabro,n,,courage
2261,xrasto,n m,,oak
2262,xrbro,adj,,brave
2263,xu,n f,,"1. trench, pit 2. hole, mousehole"
2264,xutlipe,n f,,jump
2265,zabava,n f,,fun
2266,zabavila,v tr,,entertain
2267,zabrinuto,n m,,anxiety
2268,zabrinuto,adj m,,worried
2269,zabunime,adj,,confused
