Index,Entry Word,Part of Speech,Affix,Definition
799,glista,n f,,worm
800,gliva,n f,,mushroom
801,globina,n f,,depth
802,glodini,v tr,,gnaw
803,gluho,adj,,deaf
804,gluhonemo,n m,,deaf and dumb
805,gmajna,n f,,"fen, marsh"
806,gnezdo,n m,,nest
807,gnida,n f,,nit
808,gnilo,adj,,rotten
809,gnini,v itr,,rot
810,gnizdo,n m,,nest
811,gnojasto,adj,,purulent
812,gnojini,v tr,,manure
813,gnojini pe,v itr,,fester
814,gnojo,n m,,pus
815,godba,n f,,band
816,godina,n f,,rain
817,godo,n m,,name day
818,godži,n f,,brain
819,goj,n f,,sausage
820,golobo,n m,,pigeon
821,golubači,n m,,pigeon
822,golubo,n m,,pigeon
823,gomež,n m,,1. horse 2. non-Gypsy man
824,gono,n m,,bag
825,gora,n f,,mountain
826,goruvi,v tr,,1. hide 2. cover
827,gosenica,n f,,caterpillar
828,gosli,n m,,"fiddle, Gusla"
829,gospodari,n m,,landlord
830,gospodarstvo,n m,,economy
831,gostilna,n f,,inn
832,gostilničari,n m,,landlord (public house)
833,gostilničarka,n f,,landlady (public house)
834,gostitelj,n m,,host
835,gostitelji,n m,,host
836,gosto,n m,,guest
837,gosto,adj,,dense
838,gotavo,adv,,"ready, finished"
839,gotovo,adv,,"ready, finished"
840,govedina,n f,,beef
841,govedo,n m,,cattle
842,govori,n m,,speech
843,gra,n m,,horse
844,grabini,v tr,,grab
845,grablje,n m,,"rake, hoe"
846,grabljini,v tr,,hark
847,gradnja,n f,,construction
848,grado,n m,,castle
849,grado,n m,,town
850,graho,n m,,pea
851,granica,n f,,border
852,granko,adj m,,bitter
853,grasni,n f,,mare
854,grastikano,adj m,,of horse
855,grbo,n m,,coat-of-arms
856,grča,n f,,knot
857,grči,n m,,cramp
858,grdo,adj,,1. bad 2. ugly
859,grebeno,n m,,ridge
860,greho,n m,,sin
861,grešindo,adj m,,sinful
862,grešini,v itr,,sin
863,grhli,n,,bean
864,griho,n m,,sin
865,gripa,n f,,influenza
866,griva,n f,,mane
867,griža,n f,,dysentery
868,grizini,v tr,,bite
869,grlo,n m,,throat
870,grmini,v itr,,thunder
871,grmo,n m,,"bush, shrub"
872,grobo,adj,,rude
873,gromo,n m,,thunder
874,groza,n f,,horror
875,grozdo,n m,,blackbird
876,grozini,v itr,,threaten
877,grozljivo,adj,,terrible
878,grožnja,n f,,threat
879,grulini,v itr,,coo
880,grunto,n m,,ground
881,grupa,n f,,group
882,gudlano,n m,,sweet
883,gudlič,n m,,"sweet, candy"
884,gudlipe,n m,,"sweet, candy"
885,gudljakeri,v tr,,sweeten
886,gudlo,adj m,,sweet
887,gudžovarno,adj m,,"smart, clever"
888,gulini,v tr,,cram
889,gulu,adv,,all around
890,gumi,n m,,"rubber, gum, tyre"
891,guncini,v tr,,rock
892,gurovibe,n m,,hiding
893,gurudo,adj m,,hidden
894,gurumni,n f,,cow
895,gurumnjano,adj m,,bovine
896,guruv,n m,,ox
897,guruvano,adj m,,bovine
898,guruvi,v tr,,1. hide 2. cover
899,guruvi pe,v itr,,hide o.s.
900,guruvič,n f,,cow
901,guruvo,n m,,ox
