Index,Entry Word,Part of Speech,Affix,Definition
3021,utrujeno,adj,,müde
3022,uzal,prep,,"aus, heraus"
3023,uzar,prep,,"aus, heraus"
3024,uživini,v tr,,genießen
3025,uzo,prep,,"aus, heraus"
3026,va,n m,,1. Hand 2. Arm
3027,vabilo,n m,,Einladung
3028,vabini,v tr,,locken
3029,vaga,n f,,Waage
3030,vagini,v tr,,wägen
3031,vaj,conj,,oder
3032,vaja,n f,,Übung
3033,vajenco,n m,,Lehrling (m.)
3034,vajenka,n f,,Lehrling (f.)
3035,vajeto,n m,,Zügel
3036,vajoti,n m pl,,Zügel
3037,vakeri,v tr,,1. sagen 2. reden
3038,vakeri čorjal,v phr tr,,"wispern, flüstern"
3039,vale,adv temp,,sofort
3040,vale ka,conj,,sobald als
3041,valjari,n m,,Walze
3042,valje,adv temp,,sofort
3043,valjini,v itr,,gelten
3044,valjoni,v tr,,rollen
3045,valjoni pe,v itr,,rollen
3046,vampi,n m pl,,Kutteln
3047,vampiri,n m,,Vampir
3048,vampo,n m,,"Bauch, Wampe"
3049,vargajni,n m,,Pilz
3050,varianta,n f,,Variante
3051,varini,v tr,,schweißen
3052,varno,adv qual,,"sicher, geborgen"
3053,varno,adj,,"sicher, geborgen"
3054,varnosti,n m,,Sicherheit
3055,varo,n m,,Mehl
3056,varovini,v tr,,beschützen
3057,varstvo,n m,,Schutz
3058,vartoni pe,v itr,,rollen
3059,vaso,prep,,"für, wegen"
3060,vastano,adj m,,hand-
3061,vata,n f,,Watte
3062,vavik,adv,,immer
3063,vaza,n f,,Vase
3064,vazdi,v tr,,heben
3065,važno,adj,,wichtig
3066,važnost,n f,,Wichtigkeit
3067,vbrizgo,n m,,Spritze
3068,vdov,n f,,Witwe
3069,več,adv,,1. weiter 2. noch 3. mehr
3070,večerja,n f,,Abendessen
3071,večina,n f,,"Mehrheit, Mehrzahl"
3072,večinoma,adv,,"zumeist, größtenteils"
3073,večno,adj,,ewig
3074,vedenje,n,,1. Benehmen 2. Wissen
3075,vedežovini,v itr,,wahrsagen
3076,vedro,n m,,Kübel
3077,veja,n f,,"Rauferei, Disput"
