Index,Entry Word,Part of Speech,Affix,Definition
2499,rogovilini,v itr,,"razgrajati, rogoviliti"
2500,roj,n f,,žlica
2501,rokavica,n f,,rokavica
2502,rokavo,n m,,rokav
2503,roko,n m,,rok
2504,rolete,n pl,,"žaluzije, rolete"
2505,rom,n m,,"1. Rom 2. mož, soprog"
2506,roman,n f,,prisega
2507,sa,pron indef,,vse
2508,sabla,n f,,sablja
2509,sablja,n f,,sablja
2510,sabljini,v itr,,"mečevati se, sabljati se"
2511,sadeži,n m,,sadež
2512,sadini,v tr,,"saditi, posaditi"
2513,šah,n m,,zelje
2514,šahaj,n,,zelje
2515,saj,adv,,saj
2516,šaj,adv,,1. morda 2. mogoče
2517,sajasto,adj,,sajast
2518,sajavo,adj,,sajast
2519,šaje,part mod,,"mogoče, moči"
2520,saji,n m,,saje
2521,šaka,n f,,pest
2522,šaka,n f,,prgišče
2523,saki vrsta,pron int,,kakršen(koli)
2524,sakon,pron indef,,vsakdo
2525,saksofono,n m,,saksofon
2526,šala,n f,,skodelica
2527,šala,n f,,šala
2528,salata,n f,,solata
2529,šalini pe,v itr,,šaliti se
2530,šaljivo,adj,,šaljiv
2531,šalteri,n m,,stikalo
2532,samo,adv,,samo
2533,samostalno,adj,,samostojen
2534,šampono,n m,,šampon
2535,samsko,adj,,samski
2536,san,n m,,sen
2537,sanibe,n m,,sanje
2538,sanini,v tr,,sanjati
2539,sanivo,adj,,zasanjan
2540,sanjini,v tr,,sanjati
2541,sano,adj m,,tanek
2542,sano,n m,,sanje
2543,šansa,n f,,možnost
2544,sap,n m,,kača
2545,sapano,adj m,,moker
2546,sapapocidi,v itr,,"vzdihniti, vzdihovati"
2547,sapnjakeri,v tr,,zmočiti
2548,sapuni,n m,,milo
2549,sapuno,n m,,milo
2550,sar,conj,,"kakor, kot"
2551,sargodi,pron indef,,nekako
2552,saro,pron indef,,"cel, ves"
2553,sarta,conj,,kakor da bi
2554,šarteljno,n m,,kolač
2555,šašanko,n m,,sence
2556,sasčakeri,v tr,,"zdraviti, zdraviti se"
2557,saščuvi,v itr,,okrevati
2558,sasebno,adj,,zaseben
2559,sastipe,n m,,zdravje
2560,sasto,adj m,,zdrav
2561,sastri,n m,,železo
2562,sastrumno,adj m,,železen
2563,scidi,v itr,,"oditi, odpotovati"
2564,ščipovini,v tr,,"ščipati, uščipniti"
2565,ščitini,v tr,,"varovati, (za)ščititi"
2566,ščitniko,n m,,zaslon
2567,ščito,n m,,ščit
2568,ščuka,n m,,ščuka
2569,sedam,num card,,sedem
2570,sedanjost,n f,,sedanjost
2571,sedemdeset,num card,,sedemdeset
2572,sedemnajst,num card,,sedemnajst
2573,sedlo,n m,,sedlo
