Index,Entry Word,Part of Speech,Affix,Definition
977,ternipe,n m,,fiatalság
978,terno,adj m,,fiatal
979,than,n m,,hely
980,than,n m,,"1. vászon, szövet, posztó 2. árú"
981,thardi,n f,,pálinka
982,thardi mol,n phr f,,pálinka
983,tharel,v tr,,éget
984,tharel,v tr,,éget
985,thav,n m,,"fonál, cérna"
986,them,n m,,ég
987,them,n m,,világ
988,them,n m,,1. ország 2. világ 3. ég
989,them,n m,,ég
990,thovel,v tr,,mos
991,thovel,v tr,,"1. rak, tesz, helyez 2. mos"
992,thovel pe,v itr,,mosakszik
993,thovibe,n m,,mosás
994,thud,n m,,tej
995,thudošno,adj m,,tejes
996,thuv,n m,,füst
997,thuvjano,adj m,,füstös
998,thuvjarel,v itr,,füstöl
999,tikno,adj,,kevés
1000,tikno,adj m,,kicsi
1001,ťiral,n f,,"túró, sajt"
1002,ťiral,n m,,"túró, sajt"
1003,törtineto,n m,,történet
1004,tradel,v tr,,hajt
1005,tradel ari,partv itr,,kihalt vhová
1006,tranda,num card,,harminc
1007,traninal,v tr,,merészel
1008,tresanel,v tr,,ráz
1009,trial,num mult,,háromszor
1010,trin,num card,,három
1011,trito,num ord,,harmadik
1012,tro,pron poss 2 sg m,,tied
1013,truš,n f,,szomjúság
1014,trušajol,v itr,,megszomjazik
1015,trušalo,adj m,,szomjas
1016,tu,pron pers 2 sg,,te
1017,tumaro,pron poss 2 sg m,,tietek
1018,tumen,pron pers 2 pl,,ti
1019,učo,adj m,,magas
1020,uďanoda,pron dem m,,ugyanaz
1021,uďi,interj,,ugye
1022,udvara,n f,,udvar
1023,ulavel,v tr,,eloszt
1024,umlavel,v tr,,akaszt
1025,ungrika,adv mod,,magyarul
1026,ungriko,adj m,,magyar
1027,ungro,n m,,magyar
1028,upe,prep,,"-on, -en, -ön"
1029,upral,prep,,"-ról, -ről"
1030,upre,part vb,,fel
1031,upre,adv loc,,fent
1032,upre,prep,,"-on, -en, -ön, -ra, -re"
1033,upre ušťel,partv itr,,ugrik
1034,ural upre,partv itr,,felrepül
1035,urďal,v itr,,repül
1036,urďel,v tr,,felöltöztet
1037,urďel pe,v itr,,felöltözik
1038,ušťarel,v tr,,lép
1039,ušťel,v itr,,"1. felkel, feláll 2. ugrik"
1040,ušťel pe,v itr,,ugrik
1041,uštidel,v tr,,"fog, megfog, megragad, kap"
1042,uzar,prep,,"mellet, -nál, -nél"
1043,uzar,prep,,"-hoz, -hez, -höz, -nál, -nél"
1044,užarel,v tr,,vár
1045,va,n m,,kéz
1046,va del,v phr,,kezet fog
1047,vaď,conj,,vagy
1048,vadno,adj m,,vad
1049,vakerel,v itr,,beszél
1050,valakhaj,adv loc,,valahol
1051,valako,pron indef,,valaki
1052,valako,pron indef,,valaki
1053,valasar,adv mod,,valahogy
1054,valaso,pron indef,,valami
1055,valaso,pron indef,,valami
1056,vaš,prep,,"miatt, -ért"
1057,vaše,adv caus,,érte
1058,vego,n m,,"vég, szél"
1059,veka,n f,,kosár
1060,verda,n m,,szekér
1061,veš,n m,,erdő
1062,viďazinel,v tr,,vigyáz
1063,vizitka,n m,,blúz
1064,vlahika,adv mod,,1. románul 2. oláh cigány nyelven
1065,vlaho,n m,,1. román 2. oláh cigány
1066,vlašicka,adv mod,,1. románul 2. oláh cigány nyelven
1067,vlaxo,n m,,1. román 2. oláh cigány
1068,voďi,n m,,szív
1069,voďi,n m,,szív
1070,vodro,n m,,ágy
1071,voja,n f,,kedv
1072,vonato,n m,,vonat
1073,vorta,adv mod,,egyenesen
1074,vožiťa,n f,,karácsony
1075,vrišťanel,v itr,,kiabál
1076,vrišťanel,v itr,,kiabál
1077,vudar,n m,,ajtó
1078,vušt,n m,,ajak
1079,žal,v itr,,megy
1080,žamba,n f,,béka
1081,žanel,v tr,,tud ismer
1082,zar,n f,,"szőr, fanszőr"
1083,zarďalo,adj m,,szőrös
1084,žene,adv,,valahányan (csak számnevek után)
1085,ziha,n f,,párna
1086,zihalinel,v itr,,lélekzik
1087,žil,v itr,,él
1088,žil,v itr,,él
