Index,Entry Word,Part of Speech,Affix,Definition
2114,trajo,n m,,1. Leben 2. Dauer 3. Jahrhundert
2115,trajzno,adj,,nüchtern
2116,traktori,n m,,Traktor
2117,trasta,n f,,"Koffer, Tasche"
2118,trešňa,n f,,Kirsche
2119,trešňako kaš,n phr f,,Kirschenbaum
2120,trgovina,n f,,Handel
2121,trgujil,v tr,,"tauschen, handeln"
2122,trijanda,num card,,dreißig
2123,trijanda drom,num phr mult,,dreißigmal
2124,trijandako,num card,,dreißigste
2125,trin,num card,,drei
2126,trito,num ord,,dritte
2127,trivar,num mult,,dreimal
2128,trombono,n m,,Posaune
2129,trošil,v tr,,ausgeben
2130,troško,n m,,"Kostenaufwand, Ausgabe, Aufwand"
2131,trpezarija,n f,,Esszimmer
2132,trpil,v itr,,leiden
2133,trska,n f,,"Ried, Binse"
2134,truba,n f,,Trompete
2135,trubul,part mod,,"müssen, brauchen, es ist notwendig, soll"
2136,trubul,v tr,,"fordern, brauchen"
2137,trujal,adv loc,,herum
2138,trunil,v itr,,verfaulen
2139,trupo,n m,,Körper
2140,trušalo,adj m,,durstig
2141,trušipe,n m,,Durst
2142,trušul,n m,,1. Kreuz 2. Gebet
2143,tu,pron pers 2 sg,,du
2144,tučano,adj m,,ehern
2145,tuďo,adj,,ausländisch
2146,tumaro,pron poss 2 sg m,,euer
2147,tumen,pron pers 2 pl,,ihr (pron.pers.2.pl.)
2148,tuňariko,n m,,Dunkelheit
2149,tuňariko,adj,,dunkel
2150,turčino,n m,,Türke
2151,turpija,n f,,Feile
2152,tušo,n m,,Dusche
2153,tutuno,n m,,Tabak
2154,u stvari,adv phr mod,,tatsächlich
2155,ublažil,v tr,,erleichtern
2156,učharol,v tr,,bedecken
2157,učo,n m,,"1. Höhe 2. Stufe, Grad"
2158,udovica,n f,,Witwe
2159,uglavnom,adv mod,,vor allem
2160,ugovoro,n m,,Einigung
2161,ujo,n m,,Onkel (mütterlicherseits)
2162,ukrutil,v tr,,"steif machen, versteifen"
2163,ukrutil pe,v itr,,steif werden
2164,ukuso,n m,,Geschmack
2165,ulica,n f,,Straße
2166,uloga,n f,,"Funktion, Rolle"
2167,umesto,adv mod,,stattdessen
2168,umetnost,n f,,Kunst
2169,ungriko,n m,,Ungar
2170,unuka,n f,,Enkelin
2171,unuko,n m,,Enkel
2172,uopšte,adv mod,,im allgemeinen
2173,uostalom,adv mod,,übrigens
2174,uporedil,v tr,,vergleichen
2175,upotrebil,v tr,,gebrauchen
2176,upropastil,v tr,,vernichten
2177,uskoro,adv temp,,bald
2178,uspešno,adj,,erfolgreich
2179,uspexo,n m,,Erfolg
2180,ustaša,n f,,Ustascha
2181,uštavol,v tr,,"treten, auftreten"
2182,uštol,v itr,,aufstehen
2183,ustrelil,v tr,,schießen
2184,uticajo,n m,,Einfluss
2185,utisko,n m,,Eindruck
2186,uvek,adv indef,,"ständig, für immer, andauernd, immer, fortgesetzt"
2187,uvredil,v tr,,jmd. kränken
2188,uzaludno,adv mod,,"umsonst, vergeblich"
2189,uzano,adj m,,eng
2190,uzbudil,v itr,,"zürnen, zornig sein"
2191,uzbudil,v tr,,"aufregen, erzürnen"
2192,uzdaxnil,v itr,,seufzen
2193,uzdo,n m,,Zügel
2194,uznemiril pe,v tr,,stören
2195,va,n m,,"Hand, Arm"
2196,vaćarol,v itr,,"schimpfen, fluchen"
2197,vaćarol,v tr,,verleumden
2198,vagnil,v tr,,wiegen
2199,vagono,n m,,Waggon
2200,vaľko,n m,,Rolle
2201,vaŕača,n f,,Kochlöffel
2202,varekaj,adv indef,,"irgendwo, irgendwohin"
2203,varekako,adv indef,,irgendwie
2204,varekana,adv indef,,"manchmal, hin und wieder, jemals"
2205,varekana,adv temp,,"früher, vorher"
2206,vareso,pron indef,,etwas
2207,vaspitil,v tr,,"erziehen, ausbilden"
2208,vast,n m,,Griff
2209,vasteski,n f,,Armband
2210,vastesko,adj m,,händisch
2211,vastesko,n m,,Ärmel
2212,vastesko kokalo,n phr m,,Handgelenk
2213,vasuŕa,n pl,,Geschirr
2214,vasuri,n m,,"Schale, Schüssel, Teller"
2215,vazdol,v tr,,"heben, aufheben"
2216,vazdol pe,v itr,,"steigen, ansteigen"
2217,vazduxo,n m,,Luft
2218,več,adv temp,,schon
2219,večera,n f,,Abendessen
2220,večno,adj,,ewig
2221,veličina,n f,,"1. Größe 2. Größe (Maß), Ausmaß"
2222,vena,n f,,Ader
2223,venčanica,n f,,1. Hochzeitsurkunde 2. Hochzeitskleid
2224,venčil,v itr,,heiraten
2225,venco,n m,,Kranz
2226,vepro,n m,,"Schwein, Eber"
2227,vera,n f,,Religion
2228,veranda,n f,,Veranda
2229,verovatno,adj,,wahrscheinlich
2230,verovatno,adv mod,,wahrscheinlich
2231,verovatnoća,n f,,Wahrscheinlichkeit
2232,veslo,n m,,Ruder
2233,veštica,n f,,Hexe
2234,veverica,n f,,Eichhörnchen
2235,veza,n f,,Verbindung
2236,vežbaňe,n m,,Übung
2237,vežbol,v tr,,üben
2238,vezo,n m,,Broschenbild
2239,vi maj but ,adv phr mod,,noch mehr
2240,vila,n f,,Mistgabel
2241,vinogrado,n m,,Weinberg
2242,visibaba,n f,,Schneeglöckchen
2243,visil,v itr,,hängen
2244,vlada,n f,,Regierung
2245,vladil,v tr,,herrschen
2246,vo,pron pers 3 sg m,,er
2247,voće,n m,,Frucht
2248,voďa,n m,,"Führer, Anführer"
2249,voj,pron pers 3 sg f,,sie (3.sg.)
2250,vojniko,n m,,Soldat
2251,vojno manuš,n phr m,,Soldat
2252,vojska,n f,,Armee
2253,voľa,n f,,"Wille, Testament"
2254,volil,v tr,,zufrieden stellen
2255,von,pron pers 3 pl,,sie (3.pl.)
2256,vordon,n m,,Kutsche
2257,vordon e phakenca,n phr m,,"Kalesche, Kutsche"
2258,vorta,adv mod,,korrekt
2259,vorta,adj,,ordentlich
2260,voš,n m,,Wald
2261,vošesko,adj m,,wild
2262,vošesko balo,n phr m,,Wildschwein
2263,vosko,n m,,Wachs
2264,voštano,adj,,wächsern
2265,vošuno balo,n phr m,,Wildschwein
2266,vozači,n m,,Fahrer
2267,vozo,n m,,"Zug, Eisenbahn"
2268,vrabco,n m,,Spatz
2269,vŕama,n f,,"1. Zeit 2. Alter 3. Zeitraum, Frist 4. Wetter"
2270,vŕamako,adj m,,jährlich
2271,vrana,n f,,Krähe
2272,vrasidino,adj,,gekocht
2273,vrba,n f,,Weide (Baum)
2274,vrednol,v itr,,wert sein
2275,vrsta,n f,,"Gattung, Art"
2276,vrtići,n m,,Kindergarten
2277,vrxo,n m,,Spitze
2278,vudar,n m,,1. Tür 2. (Tür)Schloss
2279,vulisarol e sarma,v phr tr,,"Wein-/Krautblätter wickeln/einwickeln, gefüllte Wein-/Krautblätter machen"
2280,vuna,n f,,Wolle
2281,vunato,adj,,1. blau 2. blond
2282,vunato patlidžano,n phr m,,Aubergine
2283,vunďa,n f,,Fingernagel
2284,vuneno,adj,,aus Wolle
2285,vuš,n m,,Mund
2286,vušta,n f,,Lippe
2287,xabe,n m,,"Essen, Gericht (Essen), Nahrung, Ernährung"
2288,xaćaripe,n m,,Erfahrung
2289,xačarno,adj m,,vernünftig
