Index,Entry Word,Part of Speech,Affix,Definition
542,dodiri,n m,,додир
543,dogaďaj,n m,,догађај
544,doktori,n m,,"лекар, доктор"
545,"doktorica palav kan, krlo thaj nakh",n phr f,,"докторка за ухо, грло и нос"
546,doktorka,n f,,"докторка, лекарка"
547,dol,n m,,бог
548,dol,v tr,,"1. дати, предати, уручити, изручити, предати, доставити, испоручити, понудити 2. почети, започети"
549,dol agor,v phr tr,,завршити
550,dol andre,v phr itr,,ући
551,dol dab,v phr tr,,"ударити, избити, ранити, повредити"
552,dol dab e pungreja,v phr tr,,ударати ногом
553,dol e čhuŕa,v phr tr,,"забости, затаћи"
554,dol jag,v phr tr,,запалити
555,dol jag e jagali,v phr tr,,пушити
556,dol jekh avre,v phr tr,,"разменити, променити, сменити"
557,dol o brsind,v phr itr,,пада киша
558,dol o iv,v phr itr,,пада снег
559,dol pe goďi,v phr itr,,"сетити се, памтити"
560,dol rľa,v phr itr,,прдети
561,dol svato,v phr itr,,"разговарати, дискутовати"
562,dolina,n f,,долина
563,domaćica,n f,,домаћица
564,domaćino,n m,,домаћин
565,domaćinstvo,n m,,домаћинство
566,doŕav,n f,,река
567,dori,n f,,"гајтан, ширит, тканица"
568,dori palaj cipeľa,n phr f,,врпца за ципеле
569,dori palaj e bal,n phr f,,трака за косу
570,doručko,n m,,доручак
571,dosada,adv temp,,до сада
572,dosadil,v tr,,досадити
573,dosadipe,n,,досађивање
574,dosadno,adj,,досадан
575,dozvola,n f,,дозвола
576,drab,n m,,лек
577,drabar,n,,"врачање, чаролије"
578,drabarimasko,n m,,"чаробњак, мађионичар"
579,drakh,n f,,"зрно грожђа, грожђе"
580,drmol,v tr,,"дрмати, потрести"
581,drmol pe,v itr,,"оклевати, колебати се"
582,drom,n m,,пут
583,dromaripe,n m,,путовање
584,drumo,n m,,"друм, пут"
585,drxtil,v itr,,дрхтати
586,drza,n f,,"1. крпа, дроњак 2. одећа 3. ствар 4. предмет 5. намештај"
587,državľanstvo,n m,,држављанство
588,duboko,adj,,дубок
589,dućanici,n m,,дућан мали
590,dućano,n m,,"дућан, продавница"
591,dudum,n f,,"бундева, тиква"
592,dueto,n m,,дует
593,duga,n f,,дуга
594,duj,num card,,два
595,dujengo,adj,,"двојни, двострук"
596,dujmiľe,num card,,две хиљаде
597,dujšela,num card,,двеста
598,dujto,adj m,,други
599,dujto,num ord,,други
600,dukhavipe,n m,,"1. бол 2. штета, повреда 3. рана, повреда"
601,dukhavol,v itr,,болети
602,dumo,n m,,раме
603,duňa,n f,,дуња
604,dur,adj,,"далек, удаљен"
605,dur,adv loc,,"далеко, на путу"
606,ďurďevdan,n m,,Ђурђевдан
607,duruli,n m,,крчаг
608,dušalipe,n m,,оптужба
609,dušalo,adj m,,крив (кривица)
610,dušarol,v tr,,"оптужити, окривити"
611,duvalica,n f,,"мехови, дувалица"
612,duvar,num mult,,двапут
613,duvil,v itr,,"трубити, дувати"
614,duxo,n m,,"дух, авет"
615,duž,prep,,дуж
616,dužnost,n f,,дужност
617,dvoro,n m,,двор
618,džal,v itr,,"1. ићи, ходати, шетати, шетати се, тумарати, попети се (на), сићи, спустити се, отићи, проћи, заобилазити 2. лутати, путовати 3. тећи, протицати"
619,džaltar,v itr,,иселити се
620,džamutro,n m,,1. зет 2. младожења
621,džanglipe,n m,,знање
622,džanol,v tr,,знати
623,džape,n m,,"1. шетња, ход 2. кретање, покрет"
624,džemperi,n m,,џемпер
625,džigerňača,n f,,јетра
626,džikaj,conj,,докле
627,džikaj,prep,,"у, за, на, до, док не"
628,džikaj či,conj,,"док (год), до, док не"
629,džu,n f,,1. ваш 2. гњида 3. бува
630,džućhel,n m,,пас
631,džućheloro,n m,,"штене, млади пас"
632,džudo,adj m,,"жив, живахан, свестан, у животу"
633,džukhli,n f,,кучка
634,džuľi,n f,,"1. девојчица, девојка (не циганка) 2. ћерка (не циганка) 3. супруга (не циганка)"
635,džungado,adj m,,будан
636,džungavol,v tr,,пробудити
637,džungavol pe,v itr,,пробудити се
638,džungla,n f,,џунгла
639,džuvalo,adj m,,"вашљив, ушљив, лош"
640,dzuvľikano,adv mod,,женствен
641,džuvľikano,adj m,,"женски, женствен"
642,e,part,,да
643,efta,num card,,седам
644,efta ďesa,n phr f,,седмица
645,eftato,num ord,,седми
646,eftavardeš,num card,,седамдесет
647,egzistiril,v itr,,"постојати, егзистирати"
648,ekonomija,n f,,економија
649,ekonomsko,adj,,"економски, привредни"
650,eksplodiril,v itr,,експлодирати
651,elefanto,n m,,слон
652,elektriciteto,n m,,електрицитет
653,endeko,n m,,канал
654,fabrika,n f,,фабрика
655,falka,n f,,брада
656,familijarno,adj,,"фамилијаран, упознат"
657,farma,n f,,фарма
658,fazano,n m,,фазан
659,februvari,n m,,фебруар
660,feľastrin,n f,,прозор
661,fioka,n f,,фиока
662,firangla,n f,,завеса
663,fizičko,adj,,"физички, физикалан"
664,flaša,n f,,флаша
665,forma,n f,,"облик, форма"
666,formiril,v tr,,"образовати, формисати"
667,foro,n m,,"град, варош"
668,forosko,adj m,,"градски, општински"
669,forosko ćher,n phr m,,градска већница
670,fosuj,n m,,"пасуљ, грах, боб"
671,frajeri,n m,,"фрајер, шмекер"
672,francuzo,n m,,француз
673,friseri,n m,,фризер
674,friserka,n f,,фризерка
675,fuŕal,v itr,,летети
676,fuŕavipe,n m,,"летење, лет"
677,fuŕavol,v tr,,обући (одећа)
678,fuŕavol pe,v itr,,обучи се
679,furkuľica,n f,,виљушка
680,gad,n m,,кошуља
681,gadiči,adj indef,,толико
682,gadija,n f,,вештица
683,gadno,adj,,"ружан, страшан, грозан, гадан, гнусан, страшан, ужасан"
684,gadžo,n m,,"1. дечак, момак (не циганин) 2. син (не циганин) 3. муж, супруг (не циганин)"
685,gajda,adv mod,,"1. тако, овако, на тај начин 2. тачно"
686,galbenil pe,v itr,,пожутети
687,galbeno,n m,,дукат
688,galbeno,adj,,жут
689,garavimasko,adj m,,тајни
690,garavipe,n m,,1. тајна 2. тајност
691,garavol,v tr,,скрити
692,garavol,v tr,,"1. одржати, сачувати 2. бринути се, чувати"
693,garavol pe,v itr,,скрити се
694,garome,adj,,гарав
695,gaso,n m,,"гас, плин"
696,gata,adj,,готов
697,gav,n m,,1. село 2. насеље
698,gavesko,adj m,,"сеоски, руралан"
699,gavrano,n m,,"гавран, врана"
700,gavutni,n f,,сељанка
701,gavutno,n m,,сељак
702,gepardo,n m,,гепард
703,ginekologo,n m,,гинеколог
704,gležňo,n m,,глежањ
705,glista,n f,,"црв, глиста"
706,gľiva,n f,,"1. лисица (гљива) 2. гљива, печурка"
707,glumco,n m,,"играч, глумац"
708,glumica,n f,,глумица
709,gndil pe,v itr,,мислити
710,gndipe,n m,,"1. мнење, мишљење 2. намера 3. мишљење"
711,gndisara,adv mod,,надам(о) се
712,gnevo,n m,,"љутња, гнев"
713,gnezdo,n m,,гнездо
714,gnojil pe ,v itr,,гнојити се
715,gnojime,adj,,"гнојан, гнојав"
716,gnojo,n m,,гној
717,goďaver,adj,,"1. интелигентан, разуман, мудар, учен, паметан 2. учтив 3. зрео"
718,goďaveripe,n m,,1. интелигенција 2. мудрост 3. учтивост
719,goďi,n f,,"1. ум, памет 2. памћење, успомена 3. мозак"
720,goj,n f,,кобасица
721,golub,n m,,голуб
722,golubari,n m,,голубар
723,golubo,n m,,голуб
