Index,Entry Word,Part of Speech,Affix,Definition
1078,hebedes,n pl,,saddle - bags
1079,hemen,adv mod,,"1. hardly, scarcely 2. as soon as"
1080,henamik,n f,,"mother-in-law, kinswoman by marriage"
1081,henc,n f,,"tension, strain"
1082,henos ,adv mod,,even
1083,her,n m,,donkey
1084,herbuzo,n m,,watermelon
1085,herni,n f,,1. donkey (female) 2. mare
1086,hêrpinel,v itr,,"jump, leap, hop"
1087,hêzi,n m,,"revenge, vengeance"
1088,hič [+neg.],adv mod,,"by no means, not at all, never"
1089,hij,n f,,"embers, ashes"
1090,hip,n f,,1. lid 2. flat earthen baking dish
1091,hipalo,adj m,,snub nosed
1092,hipopotami,n m,,"hippo, hippopotamus"
1093,hises,n m,,"share, part"
1094,holta,n f,,"1. tour 2. visit, visitation"
1095,hondiba,n m,,"groaning, moaning"
1096,hor,adv mod,,"deeply, profoundly"
1097,horatiba,n m,,"talking, speaking"
1098,horatinel,v itr,,speak
1099,horipe,n m,,depth
1100,huhudža,n pl,,"dry twigs, dry sticks"
1101,hula,n f,,1. stomach 2. belly
1102,humer,n m,,1. dough 2. pasta 3. pastry
1103,humeralo,adj m,,dough-
1104,huminel,v tr,,"1. mash, squash, crush 2. stub out (a cigarette)"
1105,i,art def f sg,,art.def.sg.f.
1106,i ,conj,,and
1107,i dijes i rat,adv phr temp,,day and night
1108,i manušni kate kerel bukja kaštestar,n phr,,joiner (female)
1109,iblol,adv temp,,yesterday
1110,iblol,adv temp,,last night
1111,iblolutno,adj m,,last night's
1112,ič,adv temp,,yesterday
1113,ič i rat,adv phr temp,,the day before yesterday
1114,idea,n f,,idea
1115,idjoti,adj m,,impertinent
1116,idžutno,adj m,,yesterday-
1117,igalel,v tr,,"take so. along, take sth. along, carry away, carry"
1118,igalel andre,v phr itr,,"ask in, invite in, let in, allow in"
1119,iglika,n f,,"primrose, cowslip"
1120,ikalav mo garezi,v phr itr,,take revenge
1121,ikalel,v tr,,"1. take out, bring out, pull out 2. print, publish"
1122,ikalel katar morthi,v,,provoke
1123,ikalel аvri,v phr itr,,"pull out, drag out"
1124,ikaliba,n m,,"1. taking out, extraction 2. completion"
1125,ikalipe,n m,,rescue
1126,ikerel,v tr,,"1. hold, keep 2. retain, maintain 3. arrest 4. last"
1127,ikerel ki godi,v phr,,intend
1128,ikeriba ,n m,,"behaviour, conduct, manners"
1129,ikeripe,n m,,duration
1130,iklagija,n f,,rolling - pin
1131,ikliba ,n m,,"going out, leaving"
1132,ikliovipe,n m,,exit
1133,iklipe,n m,,appearance
1134,ikljav gogjatar,v phr,,1. be surprised 2. wonder
1135,ikljav muestar,v phr,,take off shoes
1136,ikljel ,v,,drive (cattle …)
1137,ikljel katar,v phr,,go out
1138,ikljovel,v,,emerge
1139,ikljovel okotar,v phr tr,,"go out, come out, appear"
1140,ikljovel аvri,v phr tr,,go out
1141,ikonomikano,adj,,economic
1142,ikraladinel,v tr,,"regard, consider"
1143,iladči,n m,,"medicine, remedy"
1144,ilo,n m,,heart
1145,importantno,adj,,important
1146,importantno,adv,,importantly
1147,inandinel,v tr,,believe
1148,inatjeske,conj,,"in spite of, despite"
1149,indikirinel,v,,indicate
1150,indžiri,n m,,pearl
1151,informacia,n f,,information
1152,ingalel,v,,"1. carry, bring 2. wear 3. lead, guide"
1153,ingalel,v,,satisfy
1154,ingaliba,n m,,1. carrying 2. wearing 3. bearing
1155,ingel,v tr,,carry
1156,inkaldipe,n m,,product
1157,inkalel,v,,publish
1158,inkjari,n,,"incorrectness, wrongness"
1159,inkom,n,,income
1160,instrumenkja,n pl,,tools
1161,instrumento,n m,,fool
1162,inteligentno,adj,,intelligent
1163,interesantno,adj,,interesting
1164,intereso,n m,,interest
1165,intervuirinel,v,,interview
1166,inzarel,v tr,,1. tighten 2. put up (tent)
1167,ipalel,v tr,,"drive away, expel"
1168,ipaliba,n m,,"driving away, expelling"
1169,irati,adv temp,,yesterday
1170,iratutno,adj m,,tomorrow's
1171,iriba,n m,,1. return 2. turning (around) 3. address 4. appeal
1172,irinel,v itr,,"1. come back, return 2. turn around 3. cross 4. circumvent (an order) 5. wallow (in the dirt etc.) 6. turn over 7. answer, reply"
1173,irinel,v tr,,"1. address so. 2. request sth. 3. roll 4. return, give back"
1174,irinel peske,v itr,,return
1175,irinipe,n m,,1. answer 2. return
1176,ise ,conj,,"if, in case"
1177,isi,v,,be
1178,isi,v cop,,be
1179,isi,v aux,,Auxiljar in der Possessivkonstruktion
1180,isi,v cop,,1. there is 2. have
1181,ispelel,v tr,,"grow, plant"
1182,ispin,n f,,lentils
1183,isponindjovel,v itr,,be fulfilled (contract)
1184,ispratinel,v tr,,"1. take back, win back (a customer), regain 2. send away"
1185,istharel,v tr,,burn
1186,isthoiba,n m,,washing (laundry and body)
1187,isthovel,v itr,,wash oneself
1188,isthovel,v tr,,wash (laundry)
1189,istoria,n f,,history
1190,istorikano,adj m,,historical
1191,istovarinel,v tr,,unload
1192,istovel,v,,1. wash 2. bath
1193,isxaljovel,v itr,,"be eaten, be teared limb from limb"
1194,itemin,adv temp,,a (little) while ago
1195,iv,n m,,snow
1196,ivalo,adj m,,"snow, snowy"
1197,ivend,n m,,winter
1198,ixminel,v,,1. mix 2. knead 3. confuse
1199,iz,prep,,"1. from, out of 2. to, in direction"
1200,izdruvinel,v tr,,1. search 2. inquire about
1201,iznenadimo,adj m,,surprised
1202,iznenadinel,v,,surprise
1203,izvakjerel,v tr,,"reveal, give away, announce"
1204,ja...ja,conj,,"either…or, it could be that…or it could be that"
1205,jag,n f,,1. fire 2. hearth
1206,jag,n f,,"1. fire, flame 2. fever"
1207,jagalo,n m,,gun
1208,jagoda,n f,,strawberry
1209,jak,n f,,eye
1210,jak,n f,,1. fire 2. flame 3. fever
1211,jakes,n m,,"sack coat, jacket, blazer"
1212,jakes,n m,,jacket
1213,jakh,n f,,eye
1214,jakhali čhijav,v phr itr,,"wink, give a wink at so."
1215,jalo,adj m,,"1. raw, crude, uncooked 2. rough (person)"
1216,Jana,n f,,Yana
1217,januari,n m,,January
1218,januaro,n m,,January
1219,jaro,n m,,egg
1220,jastagachi,n m,,sofra (low round dining table)
1221,jatagani,n m,,sword
1222,javi,n f,,"morning, daybreak, dawn"
1223,javin,adv temp,,early
1224,javin,n f,,"1. morning, daybreak, dawn 2. forenoon"
1225,javinakoro xabe,n phr m,,breakfast
1226,javinate,adv temp,,in the morning
1227,jaxvaljarel,v tr,,"curse, anathematise"
1228,jaxvaljovel,v itr,,become deserted
1229,jaxvalo,adj m,,"deserted, desolate"
1230,jek,num card,,one
1231,jek,art indef sg,,"a, an"
1232,jek dženo,pron indef,,"one, someone"
1233,jek po jek,adv phr temp,,one by one
1234,jekh,num card,,one
1235,jekh,art indef sg,,"a, an"
1236,jekhe thane,pron indef,,"somewhere, anywhere"
1237,jevkar,adv mod,,1. once 2. at once
1238,juli,n m,,July
1239,juni,n m,,June
1240,jа ,conj,,or
1241,k,prep,,"for, in direction to, to, on, in, on,  dative; temporal; completion of a causative verb"
1242,k,part fut,,future particle
1243,k ,conj,,"that, because, if"
1244,ka,part fut,,future particle
1245,ka,part fut,,will (future)
1246,kabardime,adj,,1. swollen 2. risen (cake)
1247,kabardinel,v itr,,"rise, expand"
1248,kaca,n f,,1. tub 2. barrel 3. trough
1249,kados,n m,,profit
1250,kadravone-balengoro,adj m,,curly-haired
1251,kafeno,adj m,,brown
1252,kafes,n m,,coffee
1253,kafjavo,adj m,,brown
1254,kai,pron int,,where
1255,kai,conj,,"that, because, if"
1256,kai,pron rel,,1. who 2. where
1257,kaili,adj,,"content, in agreement with, concordant with"
1258,kaili ačhovav,v phr itr,,agree
1259,kaj,conj,,that
1260,kajka,pron dem f,,pron.dem.f.
1261,kajši,n m,,belt
1262,kak,n m,,uncle
1263,kak,n m,,times
1264,kaka,n f,,1. mistress 2. school mistress 3. elder sister
1265,kaka,pron dem m,,pron.dem.m.
1266,kakaraška,n f,,"magpie, crow"
1267,kakavi,n f,,"caldron, kettle"
1268,kakos,n m,,uncle
1269,kali čirikli,n phr f,,magpie
1270,kalipe,n m,,1. darkness 2. blackness 3. soot
1271,kaljardi,n f,,coffee (drink)
1272,kaljardo,adj m,,blackened
1273,kaljardo,adj m,,black (with human beings)
1274,kaljarel,v tr,,"blacken, darken"
1275,kaljovel,v itr,,"1. become black, grow dark 2. be black"
1276,kalo,adj m,,"black, sooty, dark"
1277,kalo buko,n phr m,,liver
1278,kamadžiа,n m,,"whip, (whip)lash"
1279,kamčia,n m,,"whip, (whip)lash"
1280,kamčik,n f,,whip
1281,kamdžia,n m,,"whip, (whip)lash"
1282,kamel,v,,"1. fall in love 2. require 3. must, have to 4. prefer"
1283,kamel pes,v phr,,necessarily
1284,kamera,n f,,room
1285,kamila,n m,,camel
