Index,Entry Word,Part of Speech,Affix,Definition
3302,verel pes,v itr,,"hurry, hasten"
3303,verel pes,v itr,,"resist, defend oneself"
3304,verel tele,partv,,keep apart (quarrelers)
3305,verel teli,partv,,"fend off, hold off"
3306,verel vri,partv,,avoid
3307,vergal,prep,,"through, over"
3308,vergal,adv loc,,"to the other side, at the other side"
3309,vergl ,adv loc,,"across, to the other side"
3310,vergli,n f,,"necklace, chain"
3311,verklin,n f,,chain
3312,verni,n f,,chain
3313,vert,adj,,worth the effort
3314,veš,n m,,forest
3315,veša,n f,,"1. washhouse, laundry (place), washing tub 2. laundry (clothes that need washing)"
3316,vešeskaro,n m,,"forester, ranger, forest warden, hunter"
3317,vešeskêro,n m,,"forester, ranger, forest warden, hunter"
3318,vešeskro,n m,,"forester, ranger, forest warden"
3319,vešeskro,n m,,1. hunter 2. forest guard
3320,veškorp,n m,,laundry basket
3321,vešlo,n m,,waistcoat
3322,vešlumpo,n m,,"tea towel, frazzle"
3323,vetra,n f,,1. wheather 2. thunderstorm
3324,vetre gar,adv indef,,"no longer, no more, either"
3325,vetrel,v itr,,bet
3326,vevaricka,n f,,squirrel
3327,vevêrica,n f,,squirrel
3328,vevêricka,n f,,squirrel
3329,vexa,n f,,"flank, hip, haunch"
3330,vexel vri,partv,,avoid
3331,vexsarel teli,partv,,take turns
3332,vezremen,adj,,banned
3333,vi,adv loc,,"outside, out"
3334,vicapaskari,n f,,"shovel, spade"
3335,vicarel dren,partv,,"pitch in, throw in"
3336,vicarel veg,partv,,throw away
3337,vicarel vri,partv,,"kick out, throw out"
3338,vicel,v tr,,throw
3339,vičêpaskêri,n f,,shovel
3340,vičêrel ,v tr,,throw
3341,xaben,n m,,food
3342,xačadi gadži,n phr,,midwife
3343,xačebaskro,n m,,fuel (motor)
3344,xačedi,n f,,"brandy, spirits"
3345,xačel ,v tr/itr,,"1. burn, glow 2. burn sth., set sth. on fire"
3346,xačerdi,n f,,"brandy, spirits"
3347,xačêrdi,n f,,"brandy, spirits"
3348,xačêrdino foro,n phr m,,Brandenburg
3349,xačêrdino them,n phr,,Brandenburg
3350,xačêrel ,v tr/itr,,"1. burn, glow 2. burn sth., set sth. on fire"
3351,xačêrmaskêro,adj m,,"to be burned, for burning"
3352,xačêrmaskêro kašt,n phr,,firewood
3353,xačêrpaskêro,n m,,distiller
3354,xačêrpaskêro,adj m,,"burning, fervid, fiery"
3355,xačêrpen,n m,,"fire, glow"
3356,xačêrvel ,v tr/itr,,"1. burn, glow 2. burn sth., set sth. on fire"
3357,xačêvel ,v tr/itr,,"1. burn, glow 2. burn sth., set sth. on fire"
3358,xačilel pre,partv,,set on fire
3359,xačrel,v tr,,"burn sth., set sth. on fire"
3360,xadêvel ,v itr,,spit
3361,xadvel,n f,,ducat
3362,xadžedi,n f,,brandy
3363,xajaria,n pl,,money
3364,xajera,n f,,"penny, small coin"
3365,xajeri,n f,,small coin
3366,xajmede,n pl,,"big unit of currency, banknote"
3367,xajrengêro,n m,,"penny, small coin"
3368,xajri,n f,,"penny, small coin"
3369,xajro,n m,,"penny, small coin"
3370,xal,v tr,,eat
3371,xal daba,v phr,,be beaten
3372,xal o duxo,v phr,,take a breath
3373,xal vek,partv,,eat up
3374,xaledžide,n pl,,mushrooms growing under birch trees
3375,xali,n f,,"cancer, leprosy"
3376,xali,n f,,non-Gypsy
3377,xaljeri,n f,,small coin
3378,xalo,n m,,1. non-Gypsy 2. barber
3379,xalo,adj m,,"1. eaten 2. shabby, worn (out)"
3380,xalo gap,n phr,,a village where there has already been business done before
3381,xamaskari,n f,,table
3382,xamaskaro čirklo,n phr,,peacock
3383,xamaskaro kher,n phr,,workhouse
3384,xamaskêrengêro,n m,,joiner
3385,xamaskêri,n f,,table
3386,xamaskri tiša,n phr,,dining table
3387,xamaskro,n m,,eater
3388,xamaskro,adj m,,"Eating-, Food-"
3389,xanč,n f,,itching
3390,xandžebuja,n pl,,haws
3391,xandžel ,v itr,,it itches (only 3sg+3pl)
3392,xandžerel pes,v itr,,scratch
3393,xapaskari,n f,,table
3394,xaramaskeri,n f,,pistol
3395,xarengêro,n m,,swordsman
3396,xaretiko them,n phr,,Saxony
