Index,Entry Word,Part of Speech,Affix,Definition
566,epkaš,adj,,half
567,epkaš,num fract,,half
568,er,pron indef,,"every, each"
569,ergeni,adj,,unmarried
570,erken,adv temp,,early in the morning
571,esiri,n m,,prisoner of war
572,esrali,n m,,hashish
573,fajdas,n m,,"benefit, advantage"
574,faldžis,n m,,fortune-teller
575,fali,n m,,fortune-telling
576,fali dikhela,v phr,,tell fortunes
577,famili,n f,,"seat pad, cushion"
578,familja,n f,,family
579,fanos,n m,,presence
580,fari,n m,,1. fair 2. fair grounds
581,fasuli,n m,,"bean, string bean"
582,filaki,n f,,prison
583,filimi,n m,,"film, movie"
584,fišikos,n m,,phthisis
585,fîkra,n f,,anecdote
586,fîndîki,n m,,hazelnut
587,fîstani,n m,,dress
588,fraxti,n f,,1. hedge 2. fence 3. patch
589,frengi,adj,,"impudent, cheeky"
590,frengindivola,v itr,,be impudent
591,frengiskerela,v,,let sb. be cheeky
592,freški,n f,,"shock, excitement"
593,fudoli,adj,,jolly
594,fuduli ,adj,,jolly
595,fuljola,v itr,,step down
596,funda,n f,,tassel
597,furatinela,v tr,,throw away
598,furuli,n m,,handle
599,furuni,n m,,stove
600,fusta,n f,,underwear
601,gada,n m pl,,clothes
602,gadži,n f,,1. non-Gypsy woman 2. female Turk (in TK) 3. female Greek (in GR)
603,gadžikano,adj m,,non-Gypsy
604,gadžo,n m,,1. non-Gypsy man 2. Turk (in TK) 3. Greek (in GR)
605,galano,adj m,,blue-grey
606,galika,n f,,big basket with handles
607,gamila,n f,,camel
608,garadivola,v itr,,be hidden
609,gastra,n f,,big-bellied baking tray with handles
610,gat,n m,,shirt
611,gav,n m,,village
612,gaval,adv loc,,out of the village
613,gave,adv loc,,"in the village, into the village"
614,gavutno,adj m,,rural
615,gavutno,n m,,villager
616,geči,adv temp,,late
617,gejiki,n m,,stag
618,geldjola,v itr,,be carried away
619,gelela,v tr,,"take away, carry away"
620,ger,n f,,1. scabies 2. pimple
621,geradivola,v itr,,be hidden
622,geralo,n m,,bald man
623,geralo,adj m,,"bald, scabious"
624,geravela,v tr/itr,,"hide (sth., os.), keep, preserve"
625,gerdani,n m,,necklace
626,geres,adv,,frowning
627,geres dikhela,v phr,,frown
628,germo,adj m,,white
629,germo mandro,n phr,,white bread
630,germo varo,n phr,,white flour
631,geš,n m,,brother of the husband
632,gešt,n m,,brother of the husband
633,geštani,n f,,sister of the husband
634,geverdžina,n f,,pigeon
635,gi,n m,,"1. belly, stomach 2. soul (poet.)"
636,gidela,v tr,,gather
637,gidindivola,v itr,,"meet, gather"
638,gilavela,v tr,,1. sing 2. shout
639,gilavkerela,v tr,,"let sb. sing, make sb. sing"
640,gili,n f,,"song, poem"
641,giljavela,v tr,,1. sing 2. shout
642,gindarela,v tr,,"have sth. counted, make sb. count sth."
643,ginela,v tr,,"count, calculate"
644,girdinela,v itr,,go inside / into
645,giv,n m,,"grain, corn, ear, spike"
646,glitiskerela,v tr,,"save, rescue"
647,glutinela,v itr,,save os.
648,glutiskerela,v tr,,"save, rescue"
649,göbeki,n m,,belly
650,godi,n f,,"1. brain 2. remembrance, memory 3. experience 4. opinion"
651,godjaver,adj,,"clever, intelligent, wise"
652,godjaver,adv,,"clever, intelligent, wise"
653,gofos,n m,,"sternum, breastbone"
654,gogos,n m,,"hashish, drug"
655,gomi,n m,,non-Gypsy man
656,gomi,n f,,non-Gypsy woman
657,gošni,n f,,dung
658,graj,n m,,colt
659,gransnjalivola ,v itr,,1. to start to fancy younger members of the opposite sex at an advanced age 2. to go gaga with age / at an advanced age (to become horny with age / at an advanced age)
660,gras,n m,,horse
661,grasni,n f,,1. mare 2. horse
