Index,Entry Word,Part of Speech,Affix,Definition
1863,móka,n f,-i/-a-,fun
1864,mókuši,n m,-ivja/-is-,squirrel
1865,mol,n f,"-a, -ja/-a-, -ja-",wine
1866,mol ,v tr,,be worth
1867,molínel,v itr,-d-/-d-,pray
1868,moliníbe,n m,—/-bes-,prayer
1869,molnári,n m,-ivja/-is-,miller
1870,mondato,n m,-i/-os-,sentence
1871,moňoróda,n f,-i/-a-,Monyoród
1872,more,n m,,man
1873,morgínel,v itr,-d-/-d-,mumble
1874,morža,n f,-i/-a-,crumb
1875,mošogatínel,v tr,-d-/-d-,wash dishes
1876,mošojgínel,v itr,-d-/-d-,smile
1877,mošoji,n m,-ivja/-is-,smile
1878,mošóporo,n m,-i/-os-,washing powder
1879,mostar,n f,"-a, -ja/-a-, -ja-",slap
1880,moštómni daj,n phr f,,stepmother
1881,moštómni phen,n phr f,,stepsister
1882,moštómno,adj m,,step-
1883,moštómno dad,n phr m,,stepfather
1884,moštómno phral,n phr m,,stepbrother
1885,motika,n f,-i/-a-,hoe
1886,motori,n f,-ivja/-i-,motorbike
1887,mozdisajárel,v tr,-d-/-d-,shift
1888,mozdulato,n m,-i/-os-,motion
1889,mozgínel,v itr,-d-/-d-,move
1890,mozgómno,adj m,,mobile
1891,mozi,n m,-ivja/-is-,cinema
1892,mro,pron poss 1 sg m,,my
1893,muj,n m,-a/-es-,mouth
1894,múkel,v tr,-l-/-l-,"1. let, permit, allow 2. leave 3. release, let go"
1895,múkel pe,v itr,,obey
1896,múkel smírom,v tr,,leave alone
1897,mulatínel,v itr,-d-/-d-,"enjoy, have a good time, have fun"
1898,múleskro dí,n m,-a/-es-,all soul's day
1899,mulhi,n f,"-a, -ja/-a-, -ja-","fog, mist"
1900,múlo,n m,-e/-es-,dead man
1901,múlo,adj m,,dead
1902,múlóne,adv mod,,dead
1903,múltno,adj m,,past
1904,munkalehetőšégo,n m,-i/-os-,employment
1905,munkanéküliko,adj m,,unemployed
1906,munkáši,n m,-ivja/-is-,worker
1907,murdajol,v itr,-íl-/-íl-,perish
1908,murdálo,adj m,,perish
1909,murdardo,adj m,,1. killed 2. murdered
1910,murdárel,v tr,-d-/-d-,1. kill 2. murder
1911,murdarkérel,v tr,-d-/-d-,kill
1912,murš,n m,-a/-es-,man (male)
1913,muršikáne,adv mod,,manfully
1914,muršikanípe,n m,—/-ípes-,masculinity
1915,muršikáno,adj m,,male
1916,múruci,n f,"-a, -ja/-a-, -ja-",mulberries
1917,múrucovin,n f,"-a, -ja/-a-, -ja-",mulberry tree
1918,mus te,v phr mod,,"must, have to"
1919,musáj hi te,v phr mod,,"must, have to"
1920,musáj te,part mod,,"must, have to"
1921,músik,n f,"-a, -ja/-a-, -ja-",arm
1922,muštári,n m,-ivja/-is-,mustard
1923,múter,n m,-a/-es-,urine
1924,mutrel,v itr,-d-/-d-,urinate
1925,művelínel,v tr,-d-/-d-,cultivate
1926,műveltno,adj m,,learned
1927,művéseto,n m,-i/-os-,art
1928,múzeumiko,adj m,,museum
1929,na,part neg,,1. no 2. not (+ indicative)
1930,na butára,adv phr temp,,by and by
1931,na čilla,adv temp,,recently
1932,naďbáči,n m,-ivja/-is-,uncle
1933,naďnéni,n f,-ivja/-i-,aunt
1934,naďon,adv mod,,very
1935,nádra,n f,-i/-a-,spasm
1936,náj,n m,-a/-es-,1. toe 2. finger
1937,nakh,n m,-a/-es-,nose
1938,ňakhál,v tr,,swallow
1939,ňakhável,v tr,-d-/-d-,swallow
1940,ňakhavkérel,v tr,-d-/-d-,swallow
1941,nakheskri cimpa,n phr f,,nostril (human)
1942,nakheskro,adj m,,1. nasal 2. big nosed
1943,ňakkendó,n m,-óvi/-ós-,necktie
1944,naláčho,adj m,,bad
1945,nán upre oka,adv phr,,for no reason
1946,nangípe,n m,—/-ípes-,nakedness
