Index,Entry Word,Part of Speech,Affix,Definition
1935,mesari,n m,-ja/-is-,butcher
1936,mesečin,n f,-a/-ja-,moon
1937,mesečina,n f,-es/-a-,moon
1938,mesečno,adj,,monthly
1939,mešina,n f,-es/-a-,bellows
1940,mesingo,n m,-oja/-os-,brass
1941,mešipe,n m,—/-as-,mixture
1942,mešizla,v tr,-∅-/-d-,1. mix 2. stir
1943,mešizla pe,v phr itr,-isajl-/-isajl-,"interfere, meddle"
1944,mesto,conj,,instead
1945,mesto kodva,adv,,instead
1946,metali,n m,-ja/-is-,metal
1947,metar,n m,,metre
1948,meteori,n m,"-ja, -ija/-es-",shooting star
1949,metla,n f,-es/-a-,broom
1950,miazutno,n m,-ja/-jes-,similarly
1951,mihani,n m,-ja/-jes-,bellows
1952,mijanes,n m,-es/-es-,a dish
1953,mikateša,n f,-es/-a-,mother-in-law
1954,mikos,n m,-oja/-os-,father-in-law (in relation to the other father-in-law)
1955,mikrofoni,n m,"-ja, -ija/-es-",microphone
1956,miľa,num card,,thousand
1957,miľato,num ord,,thousandth
1958,milo,adj,,dear
1959,milost,n f,,mercy
1960,mina,n f,-e/-a-,mine
1961,minato,n m,-oja/-os-,past
1962,minco,n m,-oja/-os-,nerve
1963,mindž,n f,-a/-a-,vagina
1964,minika,n f,-es/-a-,small dog
1965,ministeri,n m,-ja/-is-,minister
1966,minuta,n f,-es/-jes-,minute
1967,mir,n m,,"quiet, peace"
1968,mirazi kerla,v phr tr,-dž-/-d-,inherit
1969,miris,n m,,1. smell 2. odour
1970,mirisi,n m,-ja/-is-,1. smell 2. odour
1971,mirno,adj m,,"calm, quiet, peaceful"
1972,mirno,adv mod,,silently
1973,miro,pron poss 1 sg m,,my
1974,misafirengoro kher,n phr m,-a/-es-,guesthouse
1975,misafiri,n m,-ja/-jes-,guest
1976,misla,n f,-es/-a-,thought
1977,mislipe,n m,—/-as-,1. thinking 2. opinion
1978,mislizla,v tr,-∅-/-d-,1. think 2. mean 3. suppose
1979,mišto,adv mod,,"good, well, alright"
1980,mizerija,n f,-es/-a-,misery
1981,mizerno,adj m,,miserable
1982,mlinari,n m,-ja/-es-,miller
1983,mnozinstvo,n m,-oja/-os-,majority
1984,mo,pron poss 1 sg m,,my
1985,modej,n m,-a/-es-,"1. ideal, paragon 2. model, simulation"
1986,modelirizla,v tr,-∅-/-ime,"model, simulate"
1987,moderno,adj,,modern
1988,na,part neg,,"1. not,  negation of indicative mood 2. no"
1989,na amalikano,adj m,,1. unfriendly 2. hostile
1990,na apacavno,adj m,,infidel
1991,na čoravno,adj m,,frigid
1992,na drabno,adj m,,edible
1993,na lino ki gozi,adj m,,inconsiderate
1994,na mangla,v tr,-j-/-l-,dislike
1995,na nerno,adj m,,"reckless, foolhardy"
1996,na pobuter,adv temp,,not any more
1997,na šando,adj m,,"restless, antsy, itchy, fidgety"
