Index,Entry Word,Part of Speech,Affix,Definition
1005,kosinela,v tr,-dž-/-mo,"kosis, pres"
1006,koštinela,v itr,-dž-/-mo,kushton
1007,kotar,prep,,"nga, prej"
1008,kotar distanca,adv loc,,nga larg
1009,kotor,n m,-a/-es-,1. copë 2. kafshim
1010,kova,adj indef m,,1. dikush 2. ai
1011,kova,pron rel,,"i cili, që (rel.)"
1012,kovači,n m,-ija/-es-,"farkëtar, kovaç"
1013,kovačnica,n f,-e/-a-,"farkë, kovaçhanë"
1014,kovinela,v tr,-dž-/-mo,farkëtoj
1015,kovinela e graste,v phr,,mbath (kalin)
1016,kovlo,adj m,,"1. i butë 2. i kollajtë, i thjeshtë"
1017,kovľola,v itr,-il-/-il-,zbutem
1018,kožno,adj,,i lëkurtë
1019,kozom,adj int,,"sa është, sa"
1020,krajo,n m,-ja/-os-,fund
1021,kraľevina,n f,-e/-a-,mbretëri
1022,kraľi,n m,-ija/-es-,mbret
1023,kraľica,n f,-e/-a-,mbretëreshë
1024,kraľsko,adj m,,mbretëror
1025,krastavica,n f,-e/-a-,"kastravec, trangull"
1026,kratkovidno,adj,,"miop, dritëshkurtër"
1027,krčmari,n m,-ija/-es-,"qiradhënës, pronar, hanxhi"
1028,krčmarica,n f,-e/-a-,"qiradhënëse, pronare, hanxheshë"
1029,kreacija,n m,,"krijim, sajim"
1030,kreativno,adj,,krijues
1031,krema,n f,-e/-a-,krem
1032,krevet,n m,,krevat
1033,krilo,n m,-ja/-os-,prehër
1034,kriminal,n m,,"krim, akt kriminal"
1035,kritičan,adj m,,kritik
1036,krivinela,v tr,-dž-/-mo,fajësoj
1037,krivo,adj,,fajtor
1038,krlo,n m,-ja/-os-,"fyt, gërmaz, gushë"
1039,krma,n f,-e/-a-,kullotë
1040,krompiri,n m,-ija/-es-,patate
1041,krov,n m,,çati
1042,krpa,n f,-e/-a-,"1. copë, rreckë, zhele 2. shirit"
1043,krstibe,n m,,pagëzim
1044,krstimo,adj m,,i pagëzuar
1045,krsto,n m,-ja/-os-,kryq
1046,krtako,adj m,,i shkurtër
1047,kruglo,adv loc,,"rreth, përreth, rrotull"
1048,krugo,n m,-ja/-os-,"rreth, qark"
1049,krugo,adj,,i rrumbullakët
1050,kruna,n f,-e/-a-,kurorë
1051,krupno,adv mod,,më së shumti
1052,kruška,n f,-e/-a-,dardhë
1053,kruškako kaš,n phr f,,"dardhë, druri i dardhës"
1054,kruto,adj,,"i ngrirë, i shtangur"
1055,kucinela,v itr,-dž-/-mo,trokas
1056,kučka,n f,-e/-a-,bushtër
1057,kuhiňa,n f,-e/-a-,"kuzhinë, dhomë gatimi"
1058,labavo,adj,,"i lirë, i liruar"
1059,lačhipe,n m,-pa/-pas-,paqe
1060,lačho,adj m,,mirë
1061,lačipe,n m,-pa/-pas-,paqe
1062,lačo,adj m,,i mrekullueshëm
1063,ladž,n f,,turp
1064,ladžala,v itr,-j-/-andil-,"më vjen turp, kam turp"
1065,ladžandilo,adj m,,i turpëruar
