Index,Entry Word,Part of Speech,Affix,Definition
1098,pučel,v tr,,fragen
1099,pučhel,v tr,,fragen
1100,punro,n m,,"Fuß, Bein"
1101,purno,n m,,"Fuß, Bein"
1102,purum,n f,,Zwiebel
1103,pusavel,v tr,,"stechen, einen Stich versetzen, kopulieren"
1104,puška,n f,,"Schusswaffe, Revolver, Gewehr"
1105,puška del,v phr,,schießen
1106,pustija,n f,,"Untergang (nur:xal les/tut i pustija), Verfall (nur: xal les/tut i pustija)"
1107,puterdo,adj m,,offen
1108,putrel,v tr,,"1. öffnen 2. lockern, aufmachen"
1109,ragij,v tr,,kauen
1110,raginel,v tr,,kauen
1111,raj,n m,,"Herr, Gentleman"
1112,rajkane gada,n phr,,vornehme Kleidung
1113,rajkano,adj m,,"Herren-, gentlemanlike"
1114,raǩi,n f,,"Mädchen (Nicht-Romni), Tochter (Nicht-Romni)"
1115,rakľi,n f,,"Mädchen (Nicht-Romni), Tochter (Nicht-Romni)"
1116,raklo,n m,,"Junge (Nicht-Rom), Sohn (Nicht-Rom), junger Mann (Nicht-Rom)"
1117,rama,n m,,1. Zeit 2. Wetter
1118,rama,n f,,1. Zeit 2. Wetter
1119,randel,v tr,,1. kratzen 2. rasieren
1120,raňi,n f,,Dame
1121,rapaji,n m,,Karotte
1122,rašaj,n m,,Priester
1123,rat,n m,,Blut
1124,raťi,n f,,"Nacht, Abend"
1125,raťi kerďol,v phr,,es wird Abend
1126,reme,n m,,1. Zeit 2. Wetter
1127,reme,n f,,1. Zeit 2. Wetter
1128,resel,v itr,,1. ankommen 2. erreichen
1129,reťija,n f,,"Brandy, Spirituosen"
1130,rici,n f,,Pech
1131,ricij,n f,,Pech
1132,ricin,n f,,Pech
1133,ril,n f,,Furz
1134,rin,n m,,"Feile, Raspel"
1135,rinčedo,adj m,,ranzig
1136,rito,n m,,Wiese
1137,robo,n m,,Gefangener
1138,rodel,v tr,,1. suchen 2. Geld verdienen
1139,roj,n f,,Löffel
1140,rojindo,adj pp m,,weinend
1141,roǩa,n f,,Rock
1142,röktön,adv temp,,"auf einmal, sofort"
1143,rom,n m,,"1. Rom, Mann (Rom) 2. Ehemann (Rom)"
1144,romano,adj m,,Roma-
1145,romňi,n f,,"Romni, Ehefrau (Romni)"
1146,romňori,n f,,"kleine Frau, kleine Ehefrau"
1147,romoro,n m,,"kleiner Mann, junger Mann"
1148,romungro,n m,,ungarischer Rom
1149,ronďinel,v itr,,donnern
1150,rovel,v itr,,weinen
1151,rovipe,n m,,Weinen
1152,rovľardo,n m,,Detektiv
1153,ru,n m,,Wolf
1154,rucij ,v itr,,gelangweilt werden von
1155,rucij pe,v itr,,sich langweilen bei
1156,rucisarel,v itr,,gelangweilt werden von
1157,rucisarel pe,v itr,,sich langweilen bei
1158,rumisajvel,v itr,,"schlecht werden, verderben"
1159,rumisarel,v tr,,"zerstören, ruinieren"
1160,rup,n m,,1. Silber 2. Forint (ungarische Währung)
1161,rupuno,n m,,Forint (ungarische Währung)
1162,rupuno,adj m,,Silber-
1163,rušel,v itr,,"böse sein, böse werden"
1164,rušlo,adj m,,"böse, zornig"
1165,sa,pron indef,,"alles, alle"
1166,sa,adv temp,,immer
1167,šaj,part mod,,"es ist möglich, kann"
1168,sako,adj m,,jeder
1169,sako,pron indef,,jeder
1170,sakokaj,adv loc,,überall
1171,salavari,n m,,"Zügel, Zaumzeug"
1172,sama ,n f,,"Beachtung, Obacht (nur:sama lel)"
1173,sama lel,v phr,,"aufpassen, behüten"
1174,sano,adj m,,"dünn, schlank"
1175,sap ,n m,,Schlange
1176,sar,conj,,"als, während"
1177,sar,part comp,,"wie, so wie, als (nach Komparativ)"
1178,sar,pron int,,wie
1179,šargo,adj m,,gelb
1180,šarkaňi,n m,,Drachen
1181,šarko,n m,,Ecke
1182,sasrano,adj m,,"Eisen-, eisern"
1183,sasri,n m,,Eisen
1184,sasruno,adj m,,"Eisen-, eisern"
1185,sasťarel,v tr,,"heilen, kurieren"
1186,sasto,adj m,,gesund
1187,sasťol,v itr,,"gesund werden, verheilen"
1188,sastro,n m,,Schwiegervater
1189,sasuj,n f,,Schwiegermutter
1190,satruno,adj m,,"Eisen-, eisern"
1191,savo,pron int,,1. welcher 2. welche Art von…
1192,savo,pron rel,,welcher
1193,šegitinel,v tr,,helfen
1194,šel,num card,,hundert
1195,šelengo,n m,,"Hunderter, Hundert Forint Note (Ungarische Banknote)"
1196,šelo,n m,,"Tau, Strang"
1197,šelto,num ord,,hundertster
1198,semo,n m,,kleine Frucht
1199,serelmešo,adj m,,verliebt
1200,serelmešo perel,v phr,,sich verlieben
1201,šero,n m,,"1. Kopf 2. Stück, Kopf (Gemüse)"
1202,siďarel,v itr,,eilen
1203,sig,adv mod,,"bald, schnell"
1204,sigo,adv mod,,"bald, schnell"
1205,sikavel,v tr,,zeigen
1206,šil,n m,,Kälte
1207,šilalo,adj m,,kalt
1208,simaďi,n f,,Pfand
1209,šing,n m,,Horn
1210,šingalo,n m,,Gendarm
1211,sintaca,n f,,Sintiza
1212,sinto,n m,,Sinto
1213,šipirka,n f,,Eidechse
1214,šipurka,n f,,Eidechse
1215,sir,n f,,Knoblauch
1216,siťol,v tr,,1. lernen 2. gewöhnt werden
1217,sizno,n f,,Jungfrau
1218,slobodo ,adj m,,erlaubt (nur: naj slobodo)
1219,so,pron rel,,"der welcher…, die welche…, das was"
1220,so,pron int,,was
1221,šo,num card,,sechs
1222,šoha,adv temp,,nie
1223,somnakaj,n m,,Gold
1224,somnakuno,adj m,,"golden, Gold-"
1225,somsido,n m,,Nachbar
1226,sontno,adj m,,heilig
1227,šonut,n m,,Mond
1228,soro,adj m,,ganz
1229,sořo,adj m,,ganz
1230,šoro,n m,,"1. Kopf 2. Stück, Kopf (Gemüse)"
1231,soske,pron int,,"1. wofür, wozu 2. warum"
1232,soske,pron int,,warum
1233,šošoj,n m,,Hase
1234,sostar,pron int,,warum?
1235,sostin,n,,"Hosen, Unterhosen"
1236,sovel,v itr,,schlafen
1237,šovengi,n f,,"Revolver, Pistole"
1238,šovengo,n m,,"Revolver, Pistole"
1239,šovto,num ord,,sechster
1240,štar,num card,,vier
1241,štarako,num ord,,vierter
1242,stungo,adv loc,,links
1243,stungo,adj m,,"linker, linke, linkes"
1244,šudro,adj m,,kalt
1245,šudrol,v itr,,"kalt werden, kalt bekommen"
1246,šukar,adj,,"gut, schön"
1247,šukar,adv,,"gut, schön"
1248,šukarimo,n m,,Schönheit
1249,šukaripe,n m,,Schönheit
1250,šukaripo,n m,,Schönheit
1251,šuklo,adj m,,sauer
1252,šuko,adj m,,trocken
1253,sulma,n f,,Stroh
1254,šunďol,v itr,,"gehört werden, klingen"
1255,šunel,v tr,,"hören, zuhören"
1256,sung,n f,,"Geruch, Duft"
1257,sungal,v tr,,riechen
1258,suno,n m,,Traum
1259,suno dikhel,v phr,,träumen
1260,šuťol,v itr,,"trocknen, trocken werden"
1261,suv,n f,,Nadel
1262,šuvlo,adj m,,geschwollen
1263,t',conj,,und (vor Vokalen)
1264,tado,adj m,,gekocht
1265,tahara,adv temp,,morgen
1266,taj,conj,,und
1267,tal,prep,,"1. unter, innerhalb 2. während, innerhalb von 3. von unterhalb von"
1268,tanači,n m,,Kommunalrat
1269,tanalkozinel,v itr,,"treffen, begegnen, zustoßen"
1270,tanitokiňa,n f,,Lehrerin
1271,tanitovo,n m,,Lehrer
