Index,Entry Word,Part of Speech,Affix,Definition
1200,serelmešo perel,v phr,,szerelembe esik
1201,šero,n m,,1. fej 2. egy fej (zöldség)
1202,siďarel,v itr,,siet
1203,sig,adv mod,,gyorsan
1204,sigo,adv mod,,gyorsan
1205,sikavel,v tr,,mutat
1206,šil,n m,,"hideg, hidegség"
1207,šilalo,adj m,,hideg
1208,simaďi,n f,,zálog
1209,šing,n m,,szarv
1210,šingalo,n m,,csendőr
1211,sintaca,n f,,német cigány (nő)
1212,sinto,n m,,német cigány
1213,šipirka,n f,,gyík
1214,šipurka,n f,,gyík
1215,sir,n f,,foghagyma
1216,siťol,v tr,,1. tanul 2. szokott
1217,sizno,n f,,szűz
1218,slobodo ,adj m,,szabad (csak: naj slobodo)
1219,so,pron rel,,ami
1220,so,pron int,,mi?
1221,šo,num card,,hat
1222,šoha,adv temp,,soha
1223,somnakaj,n m,,arany
1224,somnakuno,adj m,,arany-
1225,somsido,n m,,szomszéd
1226,sontno,adj m,,szent
1227,šonut,n m,,hold
1228,soro,adj m,,egész
1229,sořo,adj m,,egész
1230,šoro,n m,,1. fej 2. egy fej (zöldség)
1231,soske,pron int,,"minek?, miért?"
1232,soske,pron int,,miért?
1233,šošoj,n m,,nyúl
1234,sostar,pron int,,miért?
1235,sostin,n,,alsónadrág
1236,sovel,v itr,,alszik
1237,šovengi,n f,,pisztoly
1238,šovengo,n m,,pisztoly
1239,šovto,num ord,,hatodik
1240,štar,num card,,négy
1241,štarako,num ord,,negyedik
1242,stungo,adv loc,,bal
1243,stungo,adj m,,bal
1244,šudro,adj m,,hideg
1245,šudrol,v itr,,"lehül, megfázik"
1246,šukar,adj,,szép
1247,šukar,adv,,szépen
1248,šukarimo,n m,,szépség
1249,šukaripe,n m,,szépség
1250,šukaripo,n m,,szépség
1251,šuklo,adj m,,savanyú
1252,šuko,adj m,,száraz
1253,sulma,n f,,szalma
1254,šunďol,v itr,,hallatszik
1255,šunel,v tr,,hall
1256,sung,n f,,szag
1257,sungal,v tr,,szagol
1258,suno,n m,,álom
1259,suno dikhel,v phr,,álmodik
1260,šuťol,v itr,,megszárad
1261,suv,n f,,tű
1262,šuvlo,adj m,,dagadt
1263,t',conj,,és (magánhangzók előtt)
1264,tado,adj m,,főtt
1265,tahara,adv temp,,holnap
1266,taj,conj,,és
1267,tal,prep,,1. alatt (hely) 2. alatt (idő) 3. alól
1268,tanači,n m,,tanács
1269,tanalkozinel,v itr,,találkozik
1270,tanitokiňa,n f,,tanítónő
1271,tanitovo,n m,,tanító
1272,tardi,n f,,pálinka
1273,tasavel,v tr,,megfojt
1274,tasol,v itr,,megfullad
1275,tati mol,n phr,,forralt bor
1276,tato,adj m,,meleg
1277,taťol,v itr,,"melegszik, izzad"
1278,tavasi,n m,,tavasz
1279,tavel,v tr,,főz
1280,te,part,,főnévi igeneves szerkezet képzője
1281,te,adv mod,,is
1282,te,conj,,"1. ha 2. hogy, célhatározó"
1283,te,conj,,és
1284,tehara,adv temp,,holnap
1285,tehara,adv temp,,reggel
1286,tehe,adv temp,,holnap
1287,tejari,n m,,tányér
1288,tel,prep,,1. alatt (hely) 2. alatt (idő) 3. alól
1289,telal,adv loc,,"alul, lent"
1290,telal,prep,,alól
1291,tele,part vb,,le
1292,tele,adv loc,,lent
1293,tele bešel,partv,,leül
1294,tele lel,partv,,levesz
1295,tele perel,partv,,leesik
1296,tele peťol,partv,,"leég, odaég"
1297,teluno,adj m,,alsó
1298,terňarel,v tr,,megfiatalít
1299,ternimo,n m,,fiatalság
1300,ternipe,n m,,fiatalság
1301,terno,adj m,,fiatal
1302,terňol,v itr,,megfiatalodik
1303,tero,n m,,tőr
1304,tešto,n m,,test
1305,than,n m,,hely
1306,than,n m,,ágy
1307,than,n m,,ágy
1308,thav,n m,,"fonál, cérna"
1309,thavdel,v itr,,folyik
1310,them,n m,,ország
1311,thol,v tr,,"rak, tesz, helyez"
1312,thovel,v tr,,mos
1313,thovel pe,v itr,,mosakszik
1314,thu,n m,,füst
1315,thud,n m,,tej
1316,thudalo,adj m,,tejes
1317,thulo,adj m,,"kövér, vastag"
1318,thulomas,n m,,szalonna
1319,thuv,n m,,füst
1320,thuvalo,adj m,,füstös
1321,thuvarel,v itr,,füstöl
1322,tiro,pron poss 2 sg m,,tied (állítmányként)
1323,ťiro,pron poss 2 sg m,,tied (állítmányként)
1324,ťo,pron poss 2 sg m,,tied (jelzőként)
1325,tojaša,n f,,tojás
1326,tojaši,n,,tojás
1327,törtineto,n m,,történet
1328,tover,n m,,"balta, fejsze"
1329,tradel,v tr,,hajt
1330,tradel avri,partv,,kihalt vhová
1331,trajo,n m,,élet
1332,tranda,num card,,harminc
1333,tras,n f,,félelem
1334,traš,n f,,félelem
1335,trasta,n f,,tarisznya
1336,trejij,v itr,,él
1337,trenda,num card,,harminc
1338,tresta,n f,,tarisznya
1339,trin,num card,,három
1340,trito,num ord,,harmadik
1341,trival,num mult,,háromszor
1342,tro,pron poss 2 sg m,,tied (jelzőként)
1343,tromal,v tr,,merészel
1344,trupo,n m,,test
1345,truš,n f,,szomjúság
1346,trušajvel,v itr,,megszomjazik
1347,tu,pron pers 2 sg,,te
1348,tumaro,pron poss 2 sg m,,tietek
1349,tumen,pron pers 2 pl,,"ti, titeket"
1350,tuňariko,n m,,börtön
1351,tuňariko,adj m,,sötét
1352,učharel,v tr,,"befed, betakar"
1353,učo,adj m,,magas
1354,udar,n m,,ajtó
1355,udvara,n f,,udvar
1356,ulavel,v tr,,eloszt
1357,umblavel,v tr,,akaszt
1358,ungrika,adv mod,,magyarul
1359,ungriko,adj m,,magyar
1360,ungro,n m,,magyar
1361,unoko,n m,,unoka
1362,ural,v itr,,repül
1363,ural opre,partv,,felrepül
1364,ural tele,partv,,leszáll
1365,uravel,v tr,,felöltöztet
1366,uravel pe,v itr,,felöltözik
1367,ušťel,v itr,,"felkel, feláll"
1368,užarel,v tr,,vár
1369,vaď,conj,,vagy
1370,vadasi,n m,,vadász
1371,vadno,adj m,,vad
1372,vaj,conj,,vagy
1373,vajda,n m,,cigányvajda
