Index,Entry Word,Part of Speech,Affix,Definition
263,čoribê,n m,,theft
264,čororibê,n m,,poverty
265,čororo,n m,,beggar
266,čororo,adj m,,poor
267,čovaxanî,n f,,witch
268,čuči,n f,,bosom
269,čudî,n pl,,wonder
270,cukro,n m,,sugar
271,čupnî,n f,,whip
272,čur,n f,,"milt, spleen"
273,čur,n f,,plait
274,čustvinêl-pê,v itr,,feel
275,čustvo,n m,,sense
276,čvartko,n m,,Thursday
277,čvartko,adv temp,,on Thursday(s)
278,čveko,n m,,nail
279,cvetînêl,v itr,,bloom
280,cveto,n m,,colour
281,da dyvêsêstê,adv phr,,from today
282,da poratê,adv phr,,"1. still, yet 2. from now on"
283,dad,n m,,father
284,dadyvês,adv temp,,today
285,dadyvês beľvele,adv phr,,tonight
286,daj,n f,,mother
287,daja,pron dem f,,this (f.)
288,dakicy but,adv phr,,so much
289,dalê,pron dem m pl,,these (m.)
290,dalê,pron dem f pl,,these (f.)
291,dand,n m,,tooth
292,dandîrêl,v tr,,bite
293,dandîripê,n m,,bite
294,dar,n f,,fear
295,daraka,n f,,skirt
296,daranduno,adj m,,afraid
297,darêl,v itr,,be afraid
298,darêl,v tr,,fear
299,darêl-pê,v itr,,become frightened
300,darik,adv loc,,from here
301,darinêl,v tr,,"forgive, excuse"
302,darmês,adv,,"gratis, for free"
303,dasavo,pron indef,,such a
304,dasavo,prep,,as
305,dava,pron dem m,,this (m.)
306,daxo,n m,,roof
307,dažê,adv,,even
308,dê,adv,,in
309,dê,prep,,"1. into, at 2. within, in"
310,dê amarê časy,adv phr,,nowadays
311,dê da časo,adv phr,,meanwhile
312,dê daja lynaj,adv phr,,this summer
313,dê daja žima,adv phr,,this winter
314,dê dava bêrš,adv phr,,this year
315,dê ghučibê,adv phr,,upwards
316,dê konco,adv phr,,at the end
317,dê nizo,adv phr,,underneath
318,dê pašdyvês,adv phr,,at noon
319,dê poŕadko,adv phr,,alright
320,dekabŕo,n m,,December
321,dêl,v tr,,1. give 2. strike
322,dêl armaňa,v phr itr,,execrate
323,dêl brîšînd,v phr tr,,rain
324,dêl čhuŕasa,v phr tr,,stab
325,dêl ghêrasa,v phr tr,,kick
326,dêl grado,v phr itr,,hail
327,dêl jiva,v phr itr,,it snows
328,dêl kaŕe,v phr itr,,shoot
329,dêl rîľa,v phr itr,,fart
330,dêl znako,v phr tr,,sign
331,delinêl,v tr,,divide
332,delo,n m,,"1. issue, affair 2. trade, deal"
333,dêmbo,n m,,oak
334,demokratičesko,adj,,democratic
335,dênko,n m,,lid
336,dêrik,adv,,aside
337,dêš,num card,,ten
338,dêš moly,num mult,,ten times
339,dêšêfta,num card,,seventeen
340,dêšêňa,num card,,nineteen
341,dêšoxto,num card,,eighteen
342,dêšto,num ord,,tenth
343,dêšuduj,num card,,twelve
344,dêšujekh,num card,,eleven
345,dêšupanč,num card,,fifteen
346,dêšušow,num card,,sixteen
347,dêšuštar,num card,,fourteen
348,dêšutrin,num card,,thirteen
349,Dêvêl,n m,,God
