Index,Entry Word,Part of Speech,Affix,Definition
1283,phên,n f,,сестра
1284,phênêl,v tr,,сказать
1285,phênêl jesčo molo,v phr tr,,повторить
1286,phêrdo,adj m,,"наполненный, полный"
1287,phêrnoro,n m,,пеленка
1288,phu,n f,,1. земля 2. грунт
1289,phučel,v tr,,спросить
1290,phučibê,n m,,вопрос
1291,phumba,n pl,,гной
1292,phumbalo,adj m,,гнойный
1293,phurdêl,v itr,,дуть
1294,phuri,n f,,старуха
1295,phuro,n m,,старик
1296,phuro,adj m,,старый (о возрасте)
1297,phuŕol,v itr,,стареть
1298,phus,n m,,солома
1299,piibê,n m,,напиток
1300,pika,n f,,копье
1301,pila,n f,,пила
1302,pilînêl,v tr,,пилить
1303,pirango,adj m,,босоногий
1304,piri,n f,,"котел, кастрюля"
1305,pirori,n f,,горшок
1306,pixinêl,v tr,,нажать
1307,pîlo,n m,,пыль
1308,pjada,n f,,ступня
1309,pjel,v itr,,пить
1310,plano,n m,,план
1311,plêskirêl,v itr,,платить
1312,plêskiribê,n m,,уплата
1313,plîvinêl,v tr,,плавать
1314,plîvinêl,v itr,,плыть (на лодке)
1315,plosko,adj,,плоский
1316,plugo,n m,,плуг
1317,po,prep,,"1. на 2. через, над"
1318,po dživo,adv phr,,удивительно
1319,po ghučipê,adv phr,,наверху
1320,po vavir dyvês,adv phr,,на следующий день
1321,po vavir paš,prep,,по другую сторону
1322,počhebno,v,,нуждаться (в чем-либо)
1323,počhebno,adv,,важно
1324,počhebno,adj m,,"нужный, необходимый"
1325,počhebno,adj m,,"полезный, пригодный"
1326,počhenîbê,n m,,потребность
1327,počhuvêl,v tr,,положить
1328,počipinêl,v tr,,повесить
1329,podarko,n m,,подарок
1330,podêšva,n f,,пятка
1331,podkedêl,v tr,,подобрать
1332,podlêl,v tr,,взять
1333,podloga,n f,,пол
1334,podlogakiro patavo,n phr m,,половик
1335,podobno,adv,,похоже
1336,podphênêl,v tr,,советовать
1337,podrikirêl,v tr,,поддерживать
1338,podrikiribê,n m,,поддержка
1339,podsal,v tr,,"высмеивать, насмехаться"
1340,podxačkirêl,v tr,,поджигать
1341,poghadêl,v tr,,награждать
1342,poghadêl-pê,v itr,,подниматься
1343,poghadîpê,n m,,"величие, власть"
1344,poghučipê,n m,,поверхность
1345,pogoda,n f,,погода
1346,pogrobo,n m,,похороны
1347,poinêl,v tr,,паять
1348,pojezdo,n m,,поезд
1349,pokaľol,v itr,,чернеть
1350,poki,conj,,пока
1351,poki,prep,,во время
1352,pokoštînêl,v tr,,пробовать
1353,pokušêl,v tr,,порвать
1354,pokušêl-pê,v itr,,порваться
1355,pola,n f,,"подол, пола"
1356,političesko,adj,,политический
1357,polzînêl,v itr,,ползать
1358,poľzînêl-pê,v tr,,использовать
1359,pomišne,adv,,нарочно
1360,pomožînêl,v tr,,помочь
1361,poniďalko,n m,,понедельник
1362,ponidžalko,adv temp,,в понедельник
1363,pophênêl,v itr,,сообщать
1364,por,n m,,перо
1365,pori,n f,,хвост
1366,posabê,n m,,издевательство
1367,pošle,conj,,после
1368,pošle,prep,,после
1369,posle pašdîvês,n phr m,,послеобеденное время
1370,pošle pašdyvês,adv phr,,после обеда
1371,pošledyr,adv,,"позже, потом"
1372,posliskinêl-pê,v itr,,поскользнуться
1373,postînêl,v itr,,поститься
1374,postojanês,adv,,непрерывно
1375,potînêl,v itr,,потеть
1376,poto,n m,,пот
1377,potom,adv temp,,после
1378,račkirêl,v itr,,ночевать
1379,radija,n m,,радио
1380,radînêl,v tr,,радовать
1381,radînêl-pê,v itr,,радоваться
1382,radkes,adv,,редко
1383,rado,adj,,довольный
1384,radoma,n m,,радость
1385,raitko,adj,,царский
1386,raja,n pl,,правительство
1387,rajo,n m,,рай
1388,rajonno,adj,,"районный, региональный"
1389,rajono,n m,,"район, округа"
1390,rakhel,v tr,,"1. ухаживать, присматривать 2. охронять 3. оборонять 4. защищать 5. охранять 6. хранить"
1391,rakhel-pê,adv,,осторожно
1392,rakirêl,v itr,,1. говорить 2. разговаривать
1393,rakiribê,n m,,1. речь 2. разговор
1394,raklî,n f,,1. сын (не цыганка) 2. девочка (не цыганка)
1395,raklo,n m,,1. сын (не цыган) 2. мальчик (не цыган)
1396,rako,n m,,рак
1397,rana,n f,,рана
1398,randêl,v tr,,"очищать шелуху, чистить"
1399,raninêl,v tr,,ранить
1400,raňšêdyr,adv temp,,прежде
1401,raptovnês,adv,,1. вдруг 2. неожиданно
1402,rapugha,n f,,жаба
1403,rašaj,n m,,священник
1404,rat,n m,,кровь
1405,rat,n f,,ночь
1406,ratfalo,adj m,,кровавый
1407,ratînêl,v tr,,спасать
1408,raty,adv temp,,1. ночью 2. за ночь
1409,razno,adj,,различный
1410,raznocvetno,adj,,разноцветный
1411,raznocvetno,adv,,разноцветно
1412,rêca,n f,,утка
1413,rêdkes,adv,,изредка
1414,redko,adj,,1. жидкий 2. редкий
1415,rêka,n f,,река
1416,rêkica,n f,,1. ручей 2. поток
1417,reľsa,n f,,рельс
1418,rêšnika,n f,,полотенце
1419,rêšo,n m,,кисть руки
1420,rezuľtato,n m,,результат
1421,rikirêl,v tr,,"1. держать 2. сохранить, удержать"
1422,rin,n m,,напильник
1423,ripirêl,v tr,,вспомнить
1424,risčol,v itr,,возвратиться
1425,risînêl,v itr,,рисовать
1426,riskirdo,adj m,,рваный
1427,riso,n m,,рис
1428,ristorano,n m,,ресторан
1429,rizo,n m,,одежда
1430,rîl,n f,,пукание
1431,rîžo,adj,,рыжий
1432,rodêl,v tr,,искать
1433,rodîpê,n m,,поиск
1434,rodo,n f,,нация
1435,rogo,n m,,1. олений рог 2. рог
1436,roj,n f,,ложка
1437,rom,n m,,1. муж (цыган) 2. муж (не цыган)
1438,Rom,n m,,цыган
1439,romanduno,adj m,,женатый
1440,romnî,n f,,1. жена (цыганка) 2. жена (не цыганка)
1441,Romnî,n f,,цыганка
1442,rosa,n f,,роса
1443,rosčhinîbê,n m,,описание
1444,rosčhuvêl,v tr,,1. упаковывать 2. расставить
1445,rosdîkhel,v tr,,рассматривать
1446,roskedêl-pê,v itr,,собираться
1447,roskerêl,v tr,,создавать
1448,rosphênêl,v tr,,рассказать
1449,rosprinčkirêl,v tr,,познакомить
1450,rostêrdžjakirêl,v tr,,1. остановить 2. расположить
1451,rostêrdžol,v itr,,остановиться
1452,rostîrdêl,v tr,,растягивать
1453,rostvardinêl,v itr,,черстветь
1454,rošutľol,v itr,,кислеть
1455,rota,n f,,колесо
1456,rovêl,v itr,,"плакать, рыдать"
1457,rovňakirêl,v tr,,1. выпрямлять 2. сравнить
1458,rovnês,adv,,"1. так же, равно 2. прямо, вертикально"
1459,rovno,adj,,равный
1460,rovo,n m,,ров
1461,roza,n f,,роза
1462,rozdelinêl,v tr,,распределять
1463,rozdîlňol,v itr,,сходить с ума
1464,rozghurel,v tr,,раздеть
1465,rozghurel-pê,v itr,,раздеться
1466,rozgurel ghêra,v phr itr,,снимать обувь
1467,rozmarêl,v tr,,1. разбить 2. разбивать
1468,ru,n m,,волк
1469,rudo,adj,,коричневый
1470,rudžêň,n f,,осень
