Index,Entry Word,Part of Speech,Affix,Definition
500,čohauni,n f,,witch
501,čohaunipe,n m,,witchcraft
502,čohauno,n m,,magician
503,čokolauda,n f,,chocolate
504,combo,n m,,1. thigh 2. lower leg
505,comprišaugo,n m,,witchcraft
506,copata ,n f,,slipper
507,čordo,adj,,stolen
508,čoribe,n m,,poverty
509,čorikano,adj,,miserable
510,čoripe,n m,,poverty
511,čorisajaurel,v tr,,impoverish
512,čorisajoul,v itr,,become poor
513,čoro,adj,,"1. poor, miserable 2. lame"
514,čoun ,n m,,boat
515,čour,n m,,thief
516,čourďal,adv,,secretly
517,čourdo,adj,,stolen
518,čourel,v tr,,steal
519,čouribe,n m,,theft
520,čouripe,n m,,theft
521,čriček,n m,,cricket
522,črka,n f,,letter
523,črta,n f,,line
524,cu but,adv,,too much
525,čučaurel,v tr,,empty
526,čučaušno,adj,,full-bosomed
527,čučengro,adj,,full-bosomed
528,čuči,n f,,breast
529,čučipe,n m,,emptiness
530,čučo,adj,,empty
531,čudež,n m,,wonder
532,čudno,adv,,unusually
533,čudno,adj,,1. strange 2. unusual
534,čudo,n m,,strangeness
535,cug,n m,,train
536,cugaur,adv,,even
537,čujaurdo,adj,,liquid
538,čujol,v itr,,flow
539,cukňudi,n f,,"nettle, stinging-nettle"
540,cukro,n m,,sugar
541,čulisajaurel,v tr,,diminish
542,čulo,pron indef,,a little
543,čulo veŕetno,adj,,unlikely
544,čulu (kada),adv,,"seldom, rarely"
545,čumidel,v tr,,kiss
546,čumidibe,n m,,kiss
547,čumidipe,n m,,kiss
548,čun,n m,,boat
549,čut,n m,,sense
550,cvetinel,v itr,,bloom
551,dad,n m,,father
552,dadeskru dij,n phr m,,Father's Day
553,ďag,n m pl,,fire
554,ďagakro,adj,,fiery
555,ďagalipe,n m,,heat
556,ďagaulo,adj,,hot
557,daja,n f,,mother
558,dajakru dij,n phr m,,Mother's Day
559,ďak,n f,,eye
560,ďalho,n m,,alder
561,daľica,n f,,straight line
562,dand,n m,,tooth
563,darangutno,adj,,1. afraid 2. shy
564,daraušno,adj,,afraid
565,darilo,n m,,gift
566,darinsajaurdo,adj,,"frightened, scared"
567,darinsajaurel,v tr,,frighten
568,darinsajoul,v itr,,become frightened
569,darisajaurdo,adj,,"frightened, scared"
570,ďaulo,adj,,raw
571,daur,n f pl,,"fear, anxiety"
572,daurel,v itr,,be afraid
573,daurel,v tr,,fear
574,ďaurko,n m,,ditch
575,ďauro,n m,,flour
576,deblo,n m,,trunk
577,december,n m,,December
578,decemberi,n m,,December
579,definibe,n m,,push
580,ďego,n m,,ice
581,dej,n f,,mother
582,dejansko,adj,,real
583,dejavnost,n f,,activity
584,dejl,n m,,1. God 2. divinity
585,dejš,num card,,ten
586,dejsto,n m,,handle
587,dejšto,num ord,,tenth
588,dejstvo,n m,,fact
589,dejšvar,num mult,,ten times
590,dejvleskro,adj,,divine
591,ďek,num card,,one
592,ďek dij,adv,,someday
593,deka,n f,,blanket
594,ďeke khrauvreske,adv,,mutual
595,ďekero,n m,,root
596,del,n m,,part
597,del,v tr,,1. give 2. deliver
598,del auri,v tr,,publish
599,del obuk,v tr,,"1. protect, guard 2. mind"
600,del paul,v tr,,give back
601,del te hal,v tr,,nourish
602,del uze,v tr,,contribute
603,delavec,n m,,worker (male)
604,delavka,n f,,worker (female)
605,delfin,n m,,dolphin
606,delinel,v tr,,share
607,delitev,n f,,division
608,demokratično,adj,,democratic
609,ďend,n m pl,,winter
610,dendejrel,v tr,,bite
611,denderibe,n m,,bite
612,ďenešno,adj,,straight
613,ďenešno,adv,,1. straight 2. straight ahead
614,ďerinel,v tr,,"1. obtain, get, receive 2. acquire, purchase 3. gain"
615,dešejfta,num card,,seventeen
616,dešeňa,num card,,nineteen
617,deska,n f,,board
618,deska,n f,,plank
619,dešofto,num card,,eighteen
620,dešoufto,num card,,eighteen
621,dešuďek,num card,,eleven
622,dešuduj,num card,,twelve
623,dešudžejk,num card,,eleven
624,dešuǧek,num card,,eleven
625,dešupaunč,num card,,fifteen
