Index,Entry Word,Part of Speech,Affix,Definition
277,bloko,n m,,Fenster
278,blokoskro staklo,n phr m,,Fensterscheibe
279,blontno,adj,,blond
280,bluza,n f,,Bluse
281,bobo,n m pl,,Bohne
282,bočkora,n f,,Schuh
283,bodoučo,adj,,zukünftig
284,bogauri,n m,,Käfer
285,bok,n f,,Hunger
286,bokhalipe,n m,,Hunger
287,bolaudo,adj,,getauft
288,bolaul,v tr,,taufen
289,bolavibe,n m,,Taufe
290,bomba,n f,,Bombe
291,bombon,n m,,Bonbon
292,boroco,n m,,1. Kiefer 2. Fichte 3. Tanne
293,borovnica,n f,,Heidelbeere
294,borzo,n m,,Igel
295,boučou,n m,,1. Volksfest 2. Messe
296,boura,n m pl,,Gebüsch
297,bouta,n f,,"Geschäft, Laden"
298,boutoši,n m,,Verkäufer
299,boutoškiňa,n f,,Verkäuferin
300,boužaulinel,v tr,,streicheln
301,božansko,adj,,göttlich
302,božiťa,n f,,Weihnachten
303,božiťakro dij,n phr m,,Weihnachtstag
304,božitkakri kerauti,n phr f,,Heiliger Abend
305,bralec,n m,,Leser
306,bralka,n f,,Leser
307,brauninel,v tr,,verteidigen
308,breza,n f,,Birke
309,brezvezno,adj,,langweilig
310,bri,prep,,ohne
311,bri adau,adv,,außerdem
312,bri buťakro,adj,,arbeitslos
313,bri faurbi,adj,,farblos
314,bri khereskro,adj,,heimatlos
315,bri kiňa,adv,,leicht
316,bri londo,adj,,ungesalzen
317,bri pučimo,adv,,"umsonst, gratis"
318,bri rauzlog,adv,,grundlos
319,bri vejzno,adj,,langweilig
320,bri vouja,adv,,grundlos
321,briga,n f,,"1. Verantwortung 2. Sorge, Besorgnis 3. Problem"
322,brigaulimo,adj,,beunruhigt
323,brigaulinel,v tr,,hüten
324,brigaušnibe,n m,,Kummer
325,brigaušno,adj,,"1. traurig, verzweifelt 2. besorgt, beunruhigt 3. unruhig"
326,brijšindeskro,adj,,regnerisch
327,brisača,n f,,Handtuch
328,brišind,n m,,Regen
329,brišind del,v,,es regnet
330,brišindaulo,adj,,regnerisch
331,brišindeskro čepo,n phr m,,Regentropfen
332,briska,n f,,Pfirsich
333,brus,n m,,"Schleifstein, Wetzstein"
334,brzina,n f,,"Geschwindigkeit, Schnelligkeit"
335,bubreškengro čiken,n phr m,,Milz
336,bubreško,n m,,Niere
337,buburka,n f,,Gurke
338,bučakro dij,n phr m,,Tag der Arbeit
339,bučhol,v tr,,nennen
340,bučkora,n f,,Schuh
341,bukev,n f,,Buche
342,bukhaulo,adj,,hungrig
343,bukimo,adj,,neigen (zu)
344,bukinel (pe),v tr,,biegen
345,bukinel (pe),v itr,,sich biegen
346,bukrejta,n f,,Blume
347,bul,n f,,Hintern
348,bulhe phikengro,adj,,breitschultrig
349,bulhipe,n m,,"Breite, Weite"
350,bulhisajol,v itr,,breit werden
351,bulho,adj,,weit
352,bulho,adj,,"breit, ausgedehnt"
353,bur,n m,,"Busch, Strauch"
