Index,Entry Word,Part of Speech,Affix,Definition
585,harbuz,n m,,musk melon
586,harkum,n f,,"copper, brass"
587,harno,adj m,,short
588,harťa,n m,,smith
589,hasarel,v tr,,"lose, destroy"
590,hasel,v itr,,cough
591,hataaro,n m,,"1. boundary, frontier 2. field"
592,heďo,n m,,mountain
593,heev,n f,,hole
594,heevjalo,adj m,,"holed, leak"
595,heevjarel,v tr,,make a hole
596,hera,n f,,clover
597,hi,v cop,,is
598,hiira,n f,,news
599,hiirešo,adj m,,famous
600,hiiro,n m,,news
601,hijel,v itr,,shit
602,hilaadi,adv mod,,with pleasure
603,hinel,v itr,,shit
604,hoď,conj,,that
605,hoď te,conj,,"so that, in order to"
606,hohamno,n m,,"liar, mendacious"
607,hohavel,v tr,,"1. deceive 2. tell a lie 3. entice, allure"
608,hohavno,n m,,"liar, mendacious"
609,hohoo,interj,,oho
610,holev,n f,,trousers
611,holov,n f,,trousers
612,holovengro,n m,,tailor
613,hooli,n f,,anger
614,hoor,adj m,,deep
615,hot te,conj,,if
616,hudel,v tr,,"take, seize, receive, catch"
617,huhur,n f,,mushroom
618,hulaj,n m,,"master (of a servant, of an animal, of an estate)"
619,hulavel,v tr,,comb
620,hulavel pe,v itr,,to do one's hair
621,humer,n m,,"noodles, pastry (boiled)"
622,hurdi,n f,,chaff
623,hurdo,adj m,,small
624,hurťi,n f,,chaff
625,hušinel,v tr,,knead
626,hušnel,v tr,,knead
627,huumi,n m,,"clothes, rags, things"
628,i,art def f sg,,the
629,ič,adv temp,,"last night, gestern"
630,iileto,n m,,life
631,iiš,conj,,and
632,ikrel,v tr,,"1. hold, keep 2. support, sustain"
633,inkaab,adv mod,,"rather, more"
634,ipen,adv mod,,"just, even"
635,iškola,n f,,school
636,ispidel,v tr,,"push, pull, squeeze into"
637,ispitel,v tr,,"push, pull, squeeze into"
638,ispitkerel,v tr,,"prickle, push"
639,ištaaloova,n f,,stable
640,jaageri,n m,,hunter
641,jaalo,adj m,,raw
642,jaaro,n m,,egg
643,jaaro,n m,,flour
644,jaaro kerel,v phr tr,,lay eggs
645,jag,n f,,fire
646,jagalo,n m,,police man
647,jagate avel,v phr itr,,get excited
648,jaj,interj,,oh
649,jeek,art indef sg,,"a, an"
650,jeek,num card,,one
