Index,Entry Word,Part of Speech,Affix,Definition
153,bal,n m,,"hajszal, szőrszál"
154,baľaari,n m,,kondás
155,balano,adj m,,sertés-
156,balano mas,n phr,,disznóhús
157,balevas,n m,,szalonna
158,baličho,n m,,malac
159,balogno,adj m,,bal
160,balval,n f,,szél
161,banďal,v itr,,sántít
162,banďarel,v tr,,"görbít, hajlít, ferdít"
163,banďol,v itr,,meggörbül
164,bango,adj m,,1. görbe 2. sánta
165,baraarel,v tr,,1. nevel 2. felnevel
166,baraarel upe,partv tr,,"felnevel, nevel"
167,baraari,n m,,1. kőműves 2. kertész
168,bařaari,n m,,1. kőműves 2. kertész
169,baraatkiňa,n f,,barátnő
170,baraato,n m,,barát
171,barbuľa,n f,,bőgő
172,baŕengero,n m,,kertész
173,barnavo,adj m,,barna
174,baro,adj m,,nagy
175,baŕol,v itr,,nő
176,baruno,adj m,,kő-
177,barvalipe,n m,,gazdagság
178,barvarel,v tr,,meggazdagít
179,bašaďi,n f,,"csengő, kolomp, hegedű"
180,bašavel,v tr,,"hegedül, hangszeren játszik"
181,bašno,n m,,kakas
182,bašol,v itr,,::::Parse Failure::::
183,bast,n f,,szerencse
184,bastalo,adj m,,szerencsés
185,baťuva,n f,,batyu
186,beeng,n m,,ördög
187,beero,n m,,hajó
188,belga,adj m,,selyp
189,berš,n m,,év
190,beršiko,adj m,,éves
191,beršuko,adj m,,éves
192,berveli,n f,,"méh, darász"
193,bešane,n pl,,szék
194,bešavel,v tr,,ültet
195,bešel,v itr,,1. ül 2. lakik
196,bešel upo gra,v phr itr,,lóra ül
197,beťaari,n m,,betyár
198,bi,prep,,nélkül
199,bianel,v tr,,1. szül 2. tojik
200,bibastalo,adj m,,szerencsétlen
201,biboldi,n f,,zsidó
202,biboldo,n m,,zsidó
203,bibuuťako,adj m,,munka nélkül
204,bičaačo,adj m,,hamis
205,bičavel,v tr,,küld
206,bičhavel,v tr,,küld
207,bidadeskero,adj m,,apátlan
208,bijav,n m,,"esküvő, lakodalom"
209,bikinel,v tr,,elad
210,biknel,v tr,,elad
211,bikneskero,n m,,elárúsító
212,biľaarel,v tr,,olvaszt
213,bilal,v itr,,olvad
214,biľal,v itr,,olvad
215,bilavel,v tr,,olvaszt
216,bilondo,adj m,,sótlan
217,birili,n f,,"méh, darász"
218,birinel,v mod,,"bír, tud"
219,biromňakero,adj m,,nőtlen
220,birta,n f,,kocsma
221,birto,n m,,kocsma
222,biš,num card,,húsz
223,bišengi,n f,,huszas
224,bišto,num ord,,huszadik
225,bistrel,v tr,,elfelejt
226,bloka,n f,,ablak
227,bluuzo,n m,,blúz
228,boba,n f,,kukorica
229,bobi,n m,,kukorica
230,bobo,n m,,kukorica
231,bok,n f,,éhség
232,bokh,n f,,éhség
233,bokhajol,v itr,,éhezik
234,bokhalo,adj m,,éhes
235,bokoli,n f,,hájas pogácsa
236,boldines,adv mod,,fordítva
237,bolel,v tr,,"bemerít, megkeresztel"
238,bolta,n f,,bolt
239,boodeeva,n f,,kunyhó
240,boori,n f,,1. meny 2. menyasszony
241,boov,n m,,"kályha, kemence"
242,börtön,n f,,"fogság, börtön"
243,braana,n f,,"zár, kapu"
244,bravenca,n f,,hangya
245,briiga,n f,,bánat
246,briižinel,v itr,,bánkódik
247,brišind,n m,,eső
248,briźako,n m,,mellény
249,brunginel,v itr,,"lóg, lötyög"
250,bubreško,n m,,vese
251,bučuma,n f,,"tőke, tönk"
252,buhaja,n f,,baj
253,buka,adj,,kevés
254,buka,adv,,kicsi
255,buko,n m,,máj
256,bul,n f,,"fenék, far"
257,bule del,v phr itr,,közösül
258,bulhaarel,v tr,,"szélesit, kiterít"
259,bulho,adj m,,"bő, széles"
260,burňik,n f,,marék
261,buro,n m,,"bokor, tüskebokor"
262,but,adj,,sok
263,butaaig,adv temp,,sokáig
264,butavo,adj m,,buta
265,buteder,adj,,több
266,buter,adj,,több
267,buťiskero manuš,n phr,,dolgos ember
268,butivar,adv mod,,sokszor
269,butvar,adv mod,,sokszor
270,buuti,n f,,1. munka 2. dolog
271,buxľaarel,v tr,,"szélesit, kiterít"
272,buze,n m,,sarkantyú
273,buzex,n m,,sarkantyú
274,buzňaare,n pl,,fillér
275,buzňi,n f,,kecske
276,buzno,n m,,bakkecske
277,ča,adv mod,,csak
278,čaačo,adj m,,igaz
279,čaajol,v itr,,jóllakik
280,čaaľol,v itr,,jóllakik
281,čaar,n f,,fű
282,čaaŕalo,adj m,,füves
283,čaarel,v tr,,nyal
284,čaaro,n m,,"tál, tányér"
285,čaaso,n m,,idő
286,čačaarel,v tr,,1. igazít 2. állít
287,čačipe,n m,,igazság
288,čak,adv mod,,csak
289,caklo,n m,,1. üveg 2. palack
290,cakluni ďaara,n phr,,üveggyár
291,cakluno,adj m,,üveg
292,čalaado,n m,,1. család 2. gyerekek
293,čalaďi,n m,,óra
294,čalaďol,v itr,,ütődik
295,čalavel,v tr,,1. üt 2. megpatkol
296,čamčaarel,v tr,,"legel, legeltet"
297,čang,n f,,1. térd 2. lábszár
298,čanga del,v phr itr,,letérdel
299,čarda,n f,,"kocsma, csárda"
300,čavri,n f,,csirke
301,čehiko,adj m,,cseh
302,čekat,n m,,homlok
303,celo,adj m,,egész
304,čeňa,n pl,,fülbevaló
305,čepo,n m,,csepp
306,cerha,n f,,sátor
307,Cerhaari,n m,,sátoros (egy cigány csoport)
308,cerhaki beeli,n phr,,sátorfa
309,čerhen,n f,,csillag
310,čhaa,n m,,fiú (cigány)
311,čhaavo,n m,,fiú (cigány)
312,čhaj,n f,,leány (cigány)
313,čham,n m,,arc
314,čhandel,v itr,,"bány, okádik"
315,čhandel aari,partv itr,,"bány, okádik"
316,čhandi,n,,szekrény
317,čhib,n f,,::::Parse Failure::::
318,čhibaalo,n m,,"vajda, bíró"
319,čhidel,v tr,,"dob, vet"
320,čhidkerel,v tr,,dobál
321,čhinalo,adj m,,éles
322,čhinďol,v itr,,"szakad, hasad"
323,čhinďol teele,partv tr,,leszakad
324,čhinel,v tr,,vág
325,čhinel aari o kašt,v phr tr,,kivágja a kezét
326,čhinel o kašt,v phr tr,,fát vág
327,čhingerel,v tr,,szakít
328,čhingrel,v tr,,szakít
329,čhito,n m,,rab
330,čhivel,v tr,,"1. dob 2. rak, tesz, helyez"
331,čhivel pe,v itr,,megszökik
332,čhivel pe teele,partv itr,,levetkőzik
333,čhivel teele,partv tr,,leveti a ruháját
334,čhon,n m,,"hónap, hold"
335,čhora,n pl,,"szakáll, bajusz"
336,čhorďol,v itr,,ömlik
337,čhorďol aari,partv itr,,kiömlik
338,čhorel,v tr,,önt
339,čhorel aari,partv tr,,kiönt
340,čhungar,n m,,"nyál, köpés"
341,čhungarel,v tr,,köp
342,čhungarel teele,partv tr,,leköp
343,čhuuri,n f,,kés
344,čibalo,n m,,kovács
345,cidel,v tr,,húz
346,cidel pe,v itr,,meghúzódik
347,cidel teele leskeri cipa,v phr tr,,lennyúsa a bőré
348,cidkerel,v tr,,"rángat, huzgál"
349,cigareta,n f,,cigaretta
350,cigareti,n f,,cigaretta
351,čik,n f,,sár
352,čikalo,adj m,,sáros
353,čiken,n m,,zsír
354,čikenaalo,adj m,,zsíros
355,čiklel,v itr,,tüsszent
356,čiklel pes,v phr itr,,tüsszentek
357,čikno,adj m,,zsíros
358,čil,n m,,vaj
359,čila,adv temp,,régen
360,čilalo,adj m,,vajas
361,čilutno,adj m,,régi
362,cipa,n f,,bőr
363,čiriǩano,adj m,,madár
364,čirikli,n f,,"madár, veréb"
365,čiriklo,n m,,"madár, veréb"
366,čislo,adj m,,sovány
367,čiśol,v itr,,lefogy
368,čit kerel,v phr itr,,hallgat
369,čitel,v itr,,hallgat
370,čohaňi,n f,,kány
371,Colaari,n m,,szőnyeges (egy cigány csoport)
372,čoor,n m,,"tolvaj, rabló, betyár"
373,čooŕal,adv mod,,"lopva, titokban"
374,čorel,v tr,,lop
375,čořika,adv mod,,szegényesen
376,čoripe,n m,,szegénység
377,čoro,adj m,,1. szegény 2. árva 3. ócska
378,čorvalo,adj m,,nyomorúságps
379,cukri,n f,,cukor
380,cukro,n m,,cukor
381,čumidel,v tr,,csókol
382,čumidipe,n m,,csókolózás
383,čumidkerel,v itr,,csókolózik
384,čumig,n f,,ostor
385,čumnik,n f,,ostor
386,čuňig,n f,,ostor
387,čunra,n f,,hajfürt
388,čurindel,v tr,,megszúr
389,čuuči,n f,,emlő
390,čuuči pel,v phr itr,,szopik
391,čuučo,adj m,,üres
392,čuučol,v itr,,kiürül
393,čuurna,n f,,hajfürt
394,daar,n f,,félelem
395,ďaara,n f,,gyár
396,daaratar,adv,,ijedtében
397,ďaaso,n m,,gyász
398,dad,n m,,apa
399,daj,n f,,anya
400,dand,n m,,fog
401,dandarel,v tr,,harap
402,danderel,v tr,,harap
403,daral,v tr,,fél
404,daravel,v tr,,1. megijeszt 2. félt
405,darda,n f,,macska
406,de,conj,,"de, azonban"
407,deci,n f,,deci
408,del,v tr,,ad
409,Del,n m,,Isten
410,del ek ril,v phr itr,,fingik
411,del o jiv,v phr itr,,havazik
412,Delooro,n m,,Istenkém
413,deš,num card,,tíz
414,deš šel,num card,,ezer
415,desto,n m,,nyél
416,ďiilaazinel,v itr,,dalol
417,ďiili,n f,,"ének, dal"
418,ďiiz,n f,,"palota, vár"
419,dikhel,v tr,,"1. néz, lát 2. látogat"
420,dikhel aari,partv itr,,"úgy néz ki, mint"
421,ďilavel,v tr,,énekel
422,diliňarel,v tr,,bolondít
423,dilino,adj m,,bolond
424,dilino kher,n phr,,bolondok
425,diliňol,v itr,,megbolondul
426,dilo,n m,,dél
427,diťhol,v itr,,"1. látszik, látható 2. úgy látszik"
428,ďiv,n m,,búza
429,dive,n m,,::::Parse Failure::::
430,divese,adv temp,,nappal
431,dobinel,v tr,,nyer
432,doktori,n m,,orvos
433,dolgo,n m,,dolog
434,dooš,n f,,"hiba, vétek"
435,dorik,n f,,"zsineg, madzag"
436,dorika,n f,,"zsineg, madzag"
437,doš,n f,,"hiba, vétek"
438,došalo,adj m,,"hibás, vétkes"
439,dosta,adv,,elég
440,draakh,n f,,1. szőlő 2. szőlőskert
441,draakhuno,adj m,,szőlős-
442,drab,n m,,dohány
443,drom,n m,,út
444,dromengoro,n m,,vándor
445,du,num card,,kettő
446,dubalo,adj m,,büdös
447,dudum,n m,,tök
448,dudumešťi,n m,,egy olah cigány nemzetség
449,dugo,adj m,,hosszú
450,duhano,n m,,dohány
451,duj,num card,,kettő
452,dujto,num ord,,második
453,dukh,n f,,fájdalom
454,dukhado,adj m,,fájós
455,dukhal,v tr,,fáj
456,dumo,n m,,hát
457,dumuk,n f,,ököl
458,Dunaja,n,,Duna
459,duňha,n f,,dunna
460,duur,adv loc,,messze
461,duural,adv loc,,messziről
462,duvar,num mult,,kétszer
463,dužno,adj m,,adós
464,džal,v itr,,megy
465,džanel,v tr,,1. tud ismer 2. gondol
466,džeene,adv,,valahányan (csak számnevek után)
467,džeeneg,adv,,valahányan (csak számnevek után)
468,dži ko,prep,,::::Parse Failure::::
469,džido,adj m,,eleven
470,dživdo,adj m,,eleven
471,dživel,v itr,,él
472,dživiben,n m,,élet
473,dživipo,n m,,élet
474,džukel,n m,,kutya
475,džuklimo,n m,,"álnokság, makacsság"
476,džungalo,adj m,,csúnya
477,džuu,n m,,1. tetű 2. pénz
478,džuuli,n f,,nő
479,džuuľi,n f,,nő
480,džuuvľikano,adj m,,női
481,džuuvľikano thud,n phr,,anyatej
482,džuvalo,adj m,,tetves
483,ebeedo,n m,,ebéd
484,ebiido,n m,,ebéd
485,eeš,conj,,és
486,eezika,n f,,őz
487,eezike,n f,,őz
488,efta,num card,,hét
489,eftaiko,num ord,,hetedik
490,ek,art indef sg,,egy
491,ek,num card,,egy
492,ek čepo,adj,,egy kevés
493,ekethaane,adv mod,,"együtt, össze"
494,ekethaane phandel,partv tr,,összeköt
495,ekhetaane,adv mod,,"együtt, össze"
496,ekvares,adv,,egymást
497,eňa,num card,,kilenc
498,eňato,num ord,,kilencedik
499,endaaňa,n f,,rokonság
500,epaš,adj,,fél
501,epašooneg,adv mod,,félig
502,erďavo,adj m,,rossz
503,erdiisi,n m,,erdész
504,erňi,n m,,reszelő
505,eš,conj,,és
506,ezera,num card,,ezer
507,ezero,num card,,ezer
508,falo,n m,,fal
509,feder,adv mod,,jobban
510,felhöövo,n m,,felhő
511,fene,n m,,fene
512,ficko,n m,,fészek
513,fojinel,v itr,,folyik
514,foninel,v tr,,fon
515,fooro,n m,,1. város 2. vásár
516,forinto,n m,,forint
517,fosuj,n m,,bab
518,fusuj,n m,,bab
519,gaada,n pl,,ruha
520,gaadži,n f,,"1. nem cigány, paraszt 2. feleség"
521,gaadžo,n m,,"1. nem cigány, paraszt 2. férj"
522,gaav,n m,,1. falu 2. város
523,gad,n m,,ing
524,gadžikaano,adj m,,"paraszti, nem-cigány"
525,gaja,n f,,gally
526,garado,adj m,,elrejtett
527,garavel,v tr,,"eldug, elrejt"
528,garuvel,v itr,,elbújik
529,gaveskero aagor,n phr,,faluszéle
530,gazda,n m,,gazda
531,ger,n f,,rüh
532,geraalo,adj m,,rühös
533,gerik,adv loc,,el
534,gerik džal,v phr itr,,elmegy
