Index,Entry Word,Part of Speech,Affix,Definition
1939,thavdel,v tr,-ď/-d,"let pass, leak, drop, flow"
1940,thavdiňol,v itr,-iľ/—,leak liquid
1941,theďarel,v tr,-ď/-d,"force, force to put"
1942,thel,v tr,-ď/-d,"1. place, put, plant 2. wash 3. have sexual intercourse"
1943,thel anav,v phr tr,,"baptize, give a name"
1944,thel jiriši,v phr tr,,dispute
1945,thel jirišî,v itr,,"dispute, argue"
1946,thel kan,v phr tr,,obey
1947,thel kan,v phr tr,,obey
1948,thel khar,v phr tr,,built a house
1949,thud,n m,-a/-ês,"sour milk, milk (seldom)"
1950,thuľarel,v tr,-ď/-d,make thicker
1951,thules,adv mod,,thickly
1952,thulipe,n m,-imatês/-imas,thickness
1953,thulo,adj m,,thick
1954,thuľol,v itr,-iľ/—,"grow stout, put on weight"
1955,thuv,n m,-a/-ês,smoke
1956,thuvalo,adj m,,smoky
1957,thuvjaskerel,v tr,-ď/-d,smoke (cigarette etc.)
1958,thuvjasto,n pl,,army
1959,thuvjasto,adj m,,smoky
1960,thuvjazel,v itr,-asaiľ/-jamê,smoke (itr.)
1961,tikňazel,v itr,-ď/-d,"grow less, diminish"
1962,tiknes,adv mod,,like a small one
1963,tikno,adj m,,"little, small"
1964,tikňol,v itr,-iľ/—,"grow less, diminish"
1965,tikňori,n f,-ja/-a,"infant, baby (female)"
1966,tiknoro,n m,-ê/-ês,"infant, baby"
1967,tiňaskerel,v tr,-ď/-d,shake out
1968,tiňazel,v itr,-ď/-d,be shaken out
1969,tinro,pron poss 2 sg m,,your
1970,tiňuri,n m,-ja/-es,drop
1971,tiritijel,v tr,-ď/-îmê,put sth. against
1972,tirmeni,n m,-ja/-es,hand-mill
1973,tîjdijel,v itr,-ď/-îmê,enter
1974,tînîki,adv mod,,"quietly, calmly"
1975,tînîki,adj,,"quiet, calm"
1976,tînîkizel,v itr,-ď/-d,become silent
1977,tînîšî,n m,-ja/-es,inhale
1978,tîrnadijel,v tr,-ď/-îmê,scratch
1979,to,pron poss 2 sg m,,your
1980,tohaiskerel,v tr,-ď/-d,hoe
1981,tokmaki,n m,-ja/-es,pestle
1982,tomalaki,adj,,round
1983,tomasi,n m,-ja/-es,kind of noodle
1984,tomna,n f,-ja/-ja,autumn
1985,topa,n f,-ja/-ja,ball
1986,topuzi,n m,-ja/-es,safety-pin
1987,tover,n m,-a/-ês,axe
1988,toxa,n f,-ja/-ja,hoe
